"","State","Agency","Abbr"
"1605","Arkansas","Arkansas Department of Finance & Administration Office of Information ServicesDepartment",""
"1606","Arkansas","Arkansas Department of Finance & Administration Office of Intergovernmental ServicesDepartment",""
"1607","Arkansas","Arkansas Department of Finance & Administration Office of Internal AuditDepartment",""
"1608","Arkansas","Arkansas Department of Finance & Administration Office of Motor VehiclesDepartment",""
"1609","Arkansas","Arkansas Department of Finance & Administration Office of State ProcurementDepartment",""
"1610","Arkansas","Arkansas Department of Finance & Administration Office of State Revenue Office AdministrationDepartment",""
"1611","Arkansas","Arkansas Department of Finance & Administration Revenue DivisionDepartment",""
"1612","Arkansas","Arkansas Department of Finance & Administration State Commission of Child Support",""
"1613","Arkansas","Arkansas Department of Finance & AdministrationDepartment",""
"1614","Arkansas","Arkansas Department of Health Administrative OfficesCommission",""
"1615","Arkansas","Arkansas Department of Health Advisory Board of InterpretersBoard",""
"1616","Arkansas","Arkansas Department of Health Board of Examiners in Speech-Language Pathology and AudiologyBoard",""
"1617","Arkansas","Arkansas Department of Health Breast Cancer Control Advisory BoardBoard",""
"1618","Arkansas","Arkansas Department of Health Case Management ProgramCommission",""
"1619","Arkansas","Arkansas Department of Health Cosmetology Technical Advisory CommitteeCommittee",""
"1620","Arkansas","Arkansas Department of Health Emergency Medical Services Advisory Councilcouncil",""
"1621","Arkansas","Arkansas Department of Health Grade A Milk Program Advisory CommitteeCommittee",""
"1622","Arkansas","Arkansas Department of Health Health Services CommissionCommission",""
"1623","Arkansas","Arkansas Department of Health Health Services Permit Commission",""
"1624","Arkansas","Arkansas Department of Health Heating Ventilation Air Conditioning and Refrigeration Licensing BoardBoard",""
"1625","Arkansas","Arkansas Department of Health Marine Sanitation Advisory CommitteeCommittee",""
"1626","Arkansas","Arkansas Department of Health Massage Therapy Technical Advisory CommitteeCommittee",""
"1627","Arkansas","Arkansas Department of Health Medical Ionizing Radiation Licensure CommitteeCommittee",""
"1628","Arkansas","Arkansas Department of Health Prescription Drug Advisory CommissionCommission",""
"1629","Arkansas","Arkansas Department of Health Prescriptive Authority Advisory CommissionCommission",""
"1630","Arkansas","Arkansas Department of Health State Board of CosmetologyBoard",""
"1631","Arkansas","Arkansas Department of Health State Board of Examiners of Alcoholism and Drug Abuse CounselorsBoard",""
"1632","Arkansas","Arkansas Department of Health State Board of HealthBoard",""
"1633","Arkansas","Arkansas Department of Health State Board of Optometry",""
"1634","Arkansas","Arkansas Department of Health State Board of PharmacyBoard",""
"1635","Arkansas","Arkansas Department of Health State Board of SanitariansBoard",""
"1636","Arkansas","Arkansas Department of Health State Examining Committee for Physical Therapists Committee",""
"1637","Arkansas","Arkansas Department of Health State Kidney Disease CommissionCommission",""
"1638","Arkansas","Arkansas Department of Health State Spinal Cord CommissionCommission",""
"1639","Arkansas","Arkansas Department of Health Tobacco Prevention and Cessation Advisory CommitteeCommittee",""
"1640","Arkansas","Arkansas Department of Health Universal Newborn Hearing Screening Tracking and Intervention ProgramBoard",""
"1641","Arkansas","Arkansas Department of HealthDepartment",""
"1642","Arkansas","Arkansas Department of Human Services Board of Developmental Disabilities ServicesBoard",""
"1643","Arkansas","Arkansas Department of Human Services Division of Child Care and Early Childhood Education Department",""
"1644","Arkansas","Arkansas Department of Human Services Division of Children and Family Services Department",""
"1645","Arkansas","Arkansas Department of Human Services Division of County Operations Department",""
"1646","Arkansas","Arkansas Department of Human Services Division of Developmental Disabilities Services Department",""
"1647","Arkansas","Arkansas Department of Human Services Division of Medical Services Department",""
"1648","Arkansas","Arkansas Department of Human Services Division of Provider Services and Quality Assurance Department",""
"1649","Arkansas","Arkansas Department of Human Services Division of Youth Services Department",""
"1650","Arkansas","Arkansas Department of Human Services Governor's Advisory Council on Agingcouncil",""
"1651","Arkansas","Arkansas Department of Human Services Matt.Burks@asp.arkansas.govBoard",""
"1652","Arkansas","Arkansas Department of Human Services Office of Chief Counsel Department",""
"1653","Arkansas","Arkansas Department of Human Services Office of Communications and Community Engagement Department",""
"1654","Arkansas","Arkansas Department of Human Services Office of the SecretaryExecutive Office",""
"1655","Arkansas","Arkansas Department of Human Services Troop GDepartment",""
"1656","Arkansas","Arkansas Department of Human ServicesDepartment",""
"1657","Arkansas","Arkansas Department of Information Systems Advisory BoardDepartment",""
"1658","Arkansas","Arkansas Department of Information Systems Steering CommitteeDepartment",""
"1659","Arkansas","Arkansas Department of Inspector General Medicaid Inspector GeneralBoard",""
"1660","Arkansas","Arkansas Department of Inspector General Office of Internal Audit",""
"1661","Arkansas","Arkansas Department of Inspector General rosalyn.miller@arkansas.govCommission",""
"1662","Arkansas","Arkansas Department of Inspector GeneralDepartment",""
"1663","Arkansas","Arkansas Department of Labor and Licensing Adjudication DivisionCommission",""
"1664","Arkansas","Arkansas Department of Labor and Licensing Administrative Services DivisionDepartment",""
"1665","Arkansas","Arkansas Department of Labor and Licensing Administrative ServicesCommission",""
"1666","Arkansas","Arkansas Department of Labor and Licensing Auctioneers Licensing Board",""
"1667","Arkansas","Arkansas Department of Labor and Licensing BlastingDepartment",""
"1668","Arkansas","Arkansas Department of Labor and Licensing Boiler InspectionDepartment",""
"1669","Arkansas","Arkansas Department of Labor and Licensing Clerk of the CommissionCommission",""
"1670","Arkansas","Arkansas Department of Labor and Licensing Commissioners & StaffCommission",""
"1671","Arkansas","Arkansas Department of Labor and Licensing Contractors Licensing BoardBoard",""
"1672","Arkansas","Arkansas Department of Labor and Licensing Director Department of LaborBoard",""
"1673","Arkansas","Arkansas Department of Labor and Licensing Electrical BoardDepartment",""
"1674","Arkansas","Arkansas Department of Labor and Licensing Elevator Safety",""
"1675","Arkansas","Arkansas Department of Labor and Licensing Elevator Safety BoardBoard",""
"1676","Arkansas","Arkansas Department of Labor and Licensing Executive OfficesCommission",""
"1677","Arkansas","Arkansas Department of Labor and Licensing Finance DivisionDepartment",""
"1678","Arkansas","Arkansas Department of Labor and Licensing Health & SafetyCommission",""
"1679","Arkansas","Arkansas Department of Labor and Licensing Home Inspector Advisory BoardBoard",""
"1680","Arkansas","Arkansas Department of Labor and Licensing Human Resources DivisionDepartment",""
"1681","Arkansas","Arkansas Department of Labor and Licensing Information Technology DivisionDepartment",""
"1682","Arkansas","Arkansas Department of Labor and Licensing Information TechnologyCommission",""
"1683","Arkansas","Arkansas Department of Labor and Licensing Labor Code Enforcement DivisionDepartment",""
"1684","Arkansas","Arkansas Department of Labor and Licensing Labor Standards Division",""
"1685","Arkansas","Arkansas Department of Labor and Licensing Legal AdvisorsCommission",""
"1686","Arkansas","Arkansas Department of Labor and Licensing Legal DivisionDepartment",""
"1687","Arkansas","Arkansas Department of Labor and Licensing Mediation and ConciliationDepartment",""
"1688","Arkansas","Arkansas Department of Labor and Licensing Medical Cost DivisionCommission",""
"1689","Arkansas","Arkansas Department of Labor and Licensing Mine Safety and Health Department",""
"1690","Arkansas","Arkansas Department of Labor and Licensing Motor Vehicle CommissionCommission",""
"1691","Arkansas","Arkansas Department of Labor and Licensing Occupational Safety & Health DivisionDepartment",""
"1692","Arkansas","Arkansas Department of Labor and Licensing Operations/Compliance",""
"1693","Arkansas","Arkansas Department of Labor and Licensing OSH/CFOI DivisionDepartment",""
"1694","Arkansas","Arkansas Department of Labor and Licensing OSHA ConsultationDepartment",""
"1695","Arkansas","Arkansas Department of Labor and Licensing Pawnbroker Licensure CommissionCommission",""
"1696","Arkansas","Arkansas Department of Labor and Licensing Professional Bail Bond Company and Bondsman Licensing BoardBoard",""
"1697","Arkansas","Arkansas Department of Labor and Licensing Real Estate CommissionCommission",""
"1698","Arkansas","Arkansas Department of Labor and Licensing Safety Training & EducationDepartment",""
"1699","Arkansas","Arkansas Department of Labor and Licensing Secretary OfficeExecutive Office",""
"1700","Arkansas","Arkansas Department of Labor and Licensing Self-InsuranceCommission",""
"1701","Arkansas","Arkansas Department of Labor and Licensing Special FundsCommission",""
"1702","Arkansas","Arkansas Department of Labor and Licensing State Board of Barber ExaminersBoard",""
"1703","Arkansas","Arkansas Department of Labor and Licensing State Board of Collection AgenciesBoard",""
"1704","Arkansas","Arkansas Department of Labor and Licensing State Board of Registration for Professional Geologists",""
"1705","Arkansas","Arkansas Department of Labor and Licensing Workers' Compensation CommissionCommission",""
"1706","Arkansas","Arkansas Department of Labor and LicensingDepartment",""
"1707","Arkansas","Arkansas Department of Public Safety Administrative DivisionDepartment",""
"1708","Arkansas","Arkansas Department of Public Safety Communications & Support Department",""
"1709","Arkansas","Arkansas Department of Public Safety Crime Victims Reparations BoardBoard",""
"1710","Arkansas","Arkansas Department of Public Safety Director's OfficeExecutive Office",""
"1711","Arkansas","Arkansas Department of Public Safety Federal Surplus Property Program",""
"1712","Arkansas","Arkansas Department of Public Safety FinanceDepartment",""
"1713","Arkansas","Arkansas Department of Public Safety Homeland Security ProgramDepartment",""
"1714","Arkansas","Arkansas Department of Public Safety Information Services DivisionDepartment",""
"1715","Arkansas","Arkansas Department of Public Safety Operations DivisionDepartment",""
"1716","Arkansas","Arkansas Department of Public Safety PreparednessDepartment",""
"1717","Arkansas","Arkansas Department of Public Safety RepositoryDepartment",""
"1718","Arkansas","Arkansas Department of Public Safety Response & RecoveryDepartment",""
"1719","Arkansas","Arkansas Department of Public Safety StandardsCommission",""
"1720","Arkansas","Arkansas Department of Public Safety State Crime Laboratory BoardBoard",""
"1721","Arkansas","Arkansas Department of Public Safety State Emergency Response Commission",""
"1722","Arkansas","Arkansas Department of Public Safety State Fire Prevention CommissionCommission",""
"1723","Arkansas","Arkansas Department of Public Safety Statistical Analysis Center-Operations DivisionDepartment",""
"1724","Arkansas","Arkansas Department of Public Safety TrainingCommission",""
"1725","Arkansas","Arkansas Department of Public SafetyDepartment",""
"1726","Arkansas","Arkansas Department of the MilitaryDepartment",""
"1727","Arkansas","Arkansas Department of Transformation and Shared Services AASISDepartment",""
"1728","Arkansas","Arkansas Department of Transformation and Shared Services AWIN Program DirectorDepartment",""
"1729","Arkansas","Arkansas Department of Transformation and Shared Services AWINDepartment",""
"1730","Arkansas","Arkansas Department of Transformation and Shared Services Chief Operating OfficerDepartment",""
"1731","Arkansas","Arkansas Department of Transformation and Shared Services Customer Relationship Management DirectorDepartment",""
"1732","Arkansas","Arkansas Department of Transformation and Shared Services Customer Relationship Management-Admin. SupportDepartment",""
"1733","Arkansas","Arkansas Department of Transformation and Shared Services Customer Relationship Management-Call CenterDepartment",""
"1734","Arkansas","Arkansas Department of Transformation and Shared Services Customer Relationship Management-CommunicationsDepartment",""
"1735","Arkansas","Arkansas Department of Transformation and Shared Services Customer Relationship Management-Customer AccountsDepartment",""
"1736","Arkansas","Arkansas Department of Transformation and Shared Services Customer Relationship Management-ReceptionistDepartment",""
"1737","Arkansas","Arkansas Department of Transformation and Shared Services Customer Relationship Management-Service OrdersDepartment",""
"1738","Arkansas","Arkansas Department of Transformation and Shared Services Cybersecurity Director",""
"1739","Arkansas","Arkansas Department of Transformation and Shared Services Cybersecurity-ACOOPDepartment",""
"1740","Arkansas","Arkansas Department of Transformation and Shared Services CybersecurityDepartment",""
"1741","Arkansas","Arkansas Department of Transformation and Shared Services DBA Bld AdministrationDepartment",""
"1742","Arkansas","Arkansas Department of Transformation and Shared Services DBA Building Maintenance/ShopDepartment",""
"1743","Arkansas","Arkansas Department of Transformation and Shared Services DBA Building Operations/Maintenance SectionDepartment",""
"1744","Arkansas","Arkansas Department of Transformation and Shared Services DBA Building OperationsDepartment",""
"1745","Arkansas","Arkansas Department of Transformation and Shared Services Deputy DirectorDepartment",""
"1746","Arkansas","Arkansas Department of Transformation and Shared Services Division of Building AuthorityDepartment",""
"1747","Arkansas","Arkansas Department of Transformation and Shared Services Division of Information Systems Department",""
"1748","Arkansas","Arkansas Department of Transformation and Shared Services Division of Land SurveysDepartment",""
"1749","Arkansas","Arkansas Department of Transformation and Shared Services Employee Benefits Division",""
"1750","Arkansas","Arkansas Department of Transformation and Shared Services Enterprise Architecture & PlanningDepartment",""
"1751","Arkansas","Arkansas Department of Transformation and Shared Services Enterprise Network Services DirectorDepartment",""
"1752","Arkansas","Arkansas Department of Transformation and Shared Services Enterprise Network ServicesDepartment",""
"1753","Arkansas","Arkansas Department of Transformation and Shared Services Enterprise Operations DirectorDepartment",""
"1754","Arkansas","Arkansas Department of Transformation and Shared Services Enterprise Operations-APSCNDepartment",""
"1755","Arkansas","Arkansas Department of Transformation and Shared Services Enterprise Operations-Computer OperationsDepartment",""
"1756","Arkansas","Arkansas Department of Transformation and Shared Services Enterprise Operations-State OperatorDepartment",""
"1757","Arkansas","Arkansas Department of Transformation and Shared Services Enterprise OperationsDepartment",""
"1758","Arkansas","Arkansas Department of Transformation and Shared Services Enterprise Solutions-ApplicationsDepartment",""
"1759","Arkansas","Arkansas Department of Transformation and Shared Services Enterprise Solutions-Software",""
"1760","Arkansas","Arkansas Department of Transformation and Shared Services Enterprise Solutions-State Systems ArchitectDepartment",""
"1761","Arkansas","Arkansas Department of Transformation and Shared Services Enterprise Solutions-Windows SupportDepartment",""
"1762","Arkansas","Arkansas Department of Transformation and Shared Services Enterprise Systems Management DirectorDepartment",""
"1763","Arkansas","Arkansas Department of Transformation and Shared Services Enterprise Systems Management-Data WarehouseDepartment",""
"1764","Arkansas","Arkansas Department of Transformation and Shared Services Enterprise Systems Management-Database Admin.Department",""
"1765","Arkansas","Arkansas Department of Transformation and Shared Services Enterprise Systems Management-State Systems Admin.Department",""
"1766","Arkansas","Arkansas Department of Transformation and Shared Services Enterprise Systems Management-UNIX SupportDepartment",""
"1767","Arkansas","Arkansas Department of Transformation and Shared Services Executive Assistant to the DirectorDepartment",""
"1768","Arkansas","Arkansas Department of Transformation and Shared Services Fiscal-Warehouse",""
"1769","Arkansas","Arkansas Department of Transformation and Shared Services FiscalDepartment",""
"1770","Arkansas","Arkansas Department of Transformation and Shared Services General CounselDepartment",""
"1771","Arkansas","Arkansas Department of Transformation and Shared Services Human ResourcesDepartment",""
"1772","Arkansas","Arkansas Department of Transformation and Shared Services Office of Personnel ManagementDepartment",""
"1773","Arkansas","Arkansas Department of Transformation and Shared Services Quality AssuranceDepartment",""
"1774","Arkansas","Arkansas Department of Transformation and Shared Services Quality ManagementDepartment",""
"1775","Arkansas","Arkansas Department of Transformation and Shared Services Research & Policy AnalysisDepartment",""
"1776","Arkansas","Arkansas Department of Transformation and Shared Services State and Public School Life and Health Insurance BoardBoard",""
"1777","Arkansas","Arkansas Department of Transformation and Shared Services State Geographic Information Systems BoardBoard",""
"1778","Arkansas","Arkansas Department of Transformation and Shared Services State Technology Councilcouncil",""
"1779","Arkansas","Arkansas Department of Transformation and Shared ServicesDepartment",""
"1780","Arkansas","Arkansas Department of Transportation State Highway CommissionCommission",""
"1781","Arkansas","Arkansas Department of TransportationDepartment",""
"1782","Arkansas","Arkansas Department of Veterans Affairs",""
"1783","Arkansas","Arkansas Department of Veterans Affairs CAVHS Veteran Service OfficeDepartment",""
"1784","Arkansas","Arkansas Department of Veterans Affairs Disabled Veterans Service OfficeAgency",""
"1785","Arkansas","Arkansas Department of Veterans Affairs District 1 Veteran Service OfficeDepartment",""
"1786","Arkansas","Arkansas Department of Veterans Affairs District 2 Veteran Service OfficeDepartment",""
"1787","Arkansas","Arkansas Department of Veterans Affairs District 3 Veteran Service Office",""
"1788","Arkansas","Arkansas Department of Veterans Affairs District 4 Veteran Service OfficeDepartment",""
"1789","Arkansas","Arkansas Department of Veterans Affairs District 5 Veteran Service OfficeDepartment",""
"1790","Arkansas","Arkansas Department of Veterans Affairs District 6 Veteran Service OfficeDepartment",""
"1791","Arkansas","Arkansas Department of Veterans Affairs District 7 Veteran Service OfficeDepartment",""
"1792","Arkansas","Arkansas Department of Veterans Affairs District 9 Veteran Service OfficeDepartment",""
"1793","Arkansas","Arkansas Department of Veterans Affairs Secretary's OfficeDepartment",""
"1794","Arkansas","Arkansas Department of Veterans Affairs Veteran ServicesDepartment",""
"1795","Arkansas","Arkansas Department of Veterans Affairs Veteran's Child Welfare ServiceBoard",""
"1796","Arkansas","Arkansas Department of Veterans Affairs Veterans Services Division",""
"1797","Arkansas","Arkansas Department of Veterans Affairs VHSO Veteran Service OfficeDepartment",""
"1798","Arkansas","Arkansas Desegregation Litigation Oversight SubcommitteeCommittee",""
"1799","Arkansas","Arkansas DHS State Institutional System BoardBoard",""
"1800","Arkansas","Arkansas Director Assessment Coordination DivisionBoard",""
"1801","Arkansas","Arkansas Director Department of Finance and AdministrationBoard",""
"1802","Arkansas","Arkansas Director Department of HealthBoard",""
"1803","Arkansas","Arkansas Director Department of Human ServicesBoard",""
"1804","Arkansas","Arkansas Director Department of Workforce EducationBoard",""
"1805","Arkansas","Arkansas Director Parks and TourismBoard",""
"1806","Arkansas","Arkansas Disability Determination for Social Security AdministrationDepartment",""
"1807","Arkansas","Arkansas Distance Learning Coordinating Councilcouncil",""
"1808","Arkansas","Arkansas District Judge's Retirement SystemBoard",""
"1809","Arkansas","Arkansas District Veteran Service OfficerAgency",""
"1810","Arkansas","Arkansas Division of Check-Cashing",""
"1811","Arkansas","Arkansas Division of LaborDepartment Department of Labor and Licensing Director's Office",""
"1812","Arkansas","Arkansas Drug Abuse and Violence Prevention Task ForceAgency",""
"1813","Arkansas","Arkansas Early Intervention Interagency Coordinating Councilcouncil",""
"1814","Arkansas","Arkansas Economic Advisor to the GovernorBoard",""
"1815","Arkansas","Arkansas Education Commission of the StatesCommission",""
"1816","Arkansas","Arkansas Educational Television CommissionCommission",""
"1817","Arkansas","Arkansas Electronic Recording CommissionCommission",""
"1818","Arkansas","Arkansas Electronic Records Study CommissionCommission",""
"1819","Arkansas","Arkansas Emergency Telephone Services BoardBoard",""
"1820","Arkansas","Arkansas Employment Security Advisory Councilcouncil",""
"1821","Arkansas","Arkansas Entertainers' Hall of Fame BoardBoard",""
"1822","Arkansas","Arkansas Entrepreneurship Education for Youths and Adults Study CoalitionAgency",""
"1823","Arkansas","Arkansas Ethics CommissionCommission",""
"1824","Arkansas","Arkansas Field ServicesAgency",""
"1825","Arkansas","Arkansas Final Act Board of DirectorsBoard",""
"1826","Arkansas","Arkansas Fire Advisory BoardBoard",""
"1827","Arkansas","Arkansas Fire and Police Pension Review BoardBoard",""
"1828","Arkansas","Arkansas Fire Training AcademyDepartment",""
"1829","Arkansas","Arkansas Firefighter Benefit Review PanelBoard",""
"1830","Arkansas","Arkansas Foothills Technical College Board of DirectorsBoard",""
"1831","Arkansas","Arkansas Forest Echoes Technical Institute Board of DirectorsBoard",""
"1832","Arkansas","Arkansas Freedom of InformationBoard",""
"1833","Arkansas","Arkansas Game and Fish Commission Funding Study CommitteeCommittee",""
"1834","Arkansas","Arkansas Garland County Community CollegeCounty",""
"1835","Arkansas","Arkansas Garland Levee District of Miller CountyBoard",""
"1836","Arkansas","Arkansas Gateway Technical College Board of Directors",""
"1837","Arkansas","Arkansas Governing Board to the Streamline Sales Tax Administrative ActBoard",""
"1838","Arkansas","Arkansas Governor's Advisory Commission on Hot Springs National ParkCommission",""
"1839","Arkansas","Arkansas Governor's Advisory Commission on National Service and VolunteerismCommission",""
"1840","Arkansas","Arkansas Governor's Advisory Council on CyclingCouncil",""
"1841","Arkansas","Arkansas Governor's Commission on Global WarmingCommission",""
"1842","Arkansas","Arkansas Governor's Commisson on Global WarmingAgency",""
"1843","Arkansas","Arkansas Governor's Dislocated Worker Task ForceAgency",""
"1844","Arkansas","Arkansas Governor's Mansion CommissionCommission",""
"1845","Arkansas","Arkansas Governor's MansionDepartment",""
"1846","Arkansas","Arkansas Governor's Office",""
"1847","Arkansas","Arkansas Governor's Partnership Council for Children and Familiescouncil",""
"1848","Arkansas","Arkansas Governor's Steering Committee on Abstinence EducationCommittee",""
"1849","Arkansas","Arkansas Governor's Task Force on Best Practices for After-School and Summer Educational ProgramsAgency",""
"1850","Arkansas","Arkansas Governor's Trauma Advisory Councilcouncil",""
"1851","Arkansas","Arkansas Governor's Youth BoardBoard",""
"1852","Arkansas","Arkansas Graduate Nurse Educator Loan and Scholarship BoardBoard",""
"1853","Arkansas","Arkansas Great Rivers Vocational Technical School Board of DirectorsBoard",""
"1854","Arkansas","Arkansas Grounds OperationsAgency",""
"1855","Arkansas","Arkansas Health Information Exchange Councilcouncil",""
"1856","Arkansas","Arkansas Health Insurance Marketplace Legislative Oversight CommitteeCommittee",""
"1857","Arkansas","Arkansas Health Services Permit Agency DirectorBoard",""
"1858","Arkansas","Arkansas Health Task Force CommissionCommission",""
"1859","Arkansas","Arkansas Healthcare Quality and Payment Policy Advisory CommitteeCommittee",""
"1860","Arkansas","Arkansas Healthcare Transparency Initiative BoardBoard",""
"1861","Arkansas","Arkansas Henderson State University Board of TrusteesBoard",""
"1862","Arkansas","Arkansas Heritage and TourismDepartment Department of Parks",""
"1863","Arkansas","Arkansas High Tech ScholarshipAgency",""
"1864","Arkansas","Arkansas Highway Employee's Retirement SystemAgency",""
"1865","Arkansas","Arkansas History CommissionCommission",""
"1866","Arkansas","Arkansas HIV/AIDS Minority TaskforceBoard",""
"1867","Arkansas","Arkansas Home Health Care Service Agency Advisory Councilcouncil",""
"1868","Arkansas","Arkansas Hospital Equipment Finance AuthorityBoard",""
"1869","Arkansas","Arkansas House of RepresentativesLegislative",""
"1870","Arkansas","Arkansas Humanities Councilcouncil",""
"1871","Arkansas","Arkansas ICF/MR Program Oversight SubcommitteeCommittee",""
"1872","Arkansas","Arkansas Inc.Agency IMPAC Learning Systems",""
"1873","Arkansas","Arkansas Independent Citizens Commission",""
"1874","Arkansas","Arkansas Independent Living Councilcouncil",""
"1875","Arkansas","Arkansas Individual Sewage Disposal Systems Advisory CommitteeCommittee",""
"1876","Arkansas","Arkansas Information Security OfficeAgency",""
"1877","Arkansas","Arkansas Information Services DivisionAgency",""
"1878","Arkansas","Arkansas Information Technology Oversight CommitteeCommittee",""
"1879","Arkansas","Arkansas Information Technology Task ForceAgency",""
"1880","Arkansas","Arkansas Insurance CommissionerCommission",""
"1881","Arkansas","Arkansas Interagency Task Force for the Implementation of Criminal Justice Prevention InitiativesBoard",""
"1882","Arkansas","Arkansas Interest on Lawyers' Trust Account Foundation BoardBoard",""
"1883","Arkansas","Arkansas Interstate Commission on Education Opportunity for Military ChildrenCommission",""
"1884","Arkansas","Arkansas Interstate Oil and Gas Compact CommissionCommission",""
"1885","Arkansas","Arkansas Investigation, Recovery, & Enforcement Department Department of Commerce Fraud",""
"1886","Arkansas","Arkansas Joint Interim Oversight Committee on Education Reform",""
"1887","Arkansas","Arkansas Joint Interim Oversight SubCommittee on Education ReformCommittee",""
"1888","Arkansas","Arkansas Joint Legislative Commission on Prescription Drug CostsCommission",""
"1889","Arkansas","Arkansas Judicial Advisory GroupAgency",""
"1890","Arkansas","Arkansas Judicial Discipline and Disability CommissionCommission",""
"1891","Arkansas","Arkansas Judicial Retirement SystemDepartment",""
"1892","Arkansas","Arkansas Juvenile Advisory GroupAgency",""
"1893","Arkansas","Arkansas Labor Market Information and Employer Tax CreditsDepartment Department of Commerce Administrative Services Manager",""
"1894","Arkansas","Arkansas Labor Market Information and Tax CreditsDepartment Department of Commerce Dislocated Worker Services",""
"1895","Arkansas","Arkansas Land Records FiscalAgency",""
"1896","Arkansas","Arkansas Land Records LegalAgency",""
"1897","Arkansas","Arkansas Land Records Real EstateAgency",""
"1898","Arkansas","Arkansas Land RecordsAgency",""
"1899","Arkansas","Arkansas Law Enforcement Officers' Memorial",""
"1900","Arkansas","Arkansas Legislative AuditorBoard",""
"1901","Arkansas","Arkansas Legislative Commission on NursingCommission",""
"1902","Arkansas","Arkansas Legislative Joint Auditing Committee Legislative AuditCommittee",""
"1903","Arkansas","Arkansas Legislative Joint Auditing CommitteeCommittee",""
"1904","Arkansas","Arkansas Legislative Task Force on Abused and Neglected ChildrenBoard",""
"1905","Arkansas","Arkansas Legislative Task Force on AutismBoard",""
"1906","Arkansas","Arkansas Legislative Task Force on Criminal JusticeAgency",""
"1907","Arkansas","Arkansas Legislative Task Force on Criteria and Qualifications for Chiefs of PoliceBoard",""
"1908","Arkansas","Arkansas Legislative Task Force on Intermodal Transportation and CommerceBoard",""
"1909","Arkansas","Arkansas Legislative Task Force on Patient ChoiceBoard",""
"1910","Arkansas","Arkansas Legislative Task Force on the Assessment & Improvement of AR History Education in Public ScAgency",""
"1911","Arkansas","Arkansas Legislative Task Force on Traumatic Brain InjuryBoard",""
"1912","Arkansas","Arkansas Legislative Task Force on Water QualityAgency",""
"1913","Arkansas","Arkansas LegislatureAgency",""
"1914","Arkansas","Arkansas Lieutenant GovernorExecutive",""
"1915","Arkansas","Arkansas Lifeline Individual Verification Effort CorporationBoard",""
"1916","Arkansas","Arkansas Local Government PlanningDepartment",""
"1917","Arkansas","Arkansas Local Police & Fire Retirement System Agency",""
"1918","Arkansas","Arkansas Long Term Care Liability Insurance Governing BoardBoard",""
"1919","Arkansas","Arkansas Long-Term Care Facility Advisory Board",""
"1920","Arkansas","Arkansas Lottery Commission Advisory CouncilCommission",""
"1921","Arkansas","Arkansas Lottery Commission Oversight CommitteeCommission",""
"1922","Arkansas","Arkansas Mansion Advisory Councilcouncil",""
"1923","Arkansas","Arkansas Martin Luther King Jr. CommissionCommission",""
"1924","Arkansas","Arkansas Mechanical & Electrical SystemsDepartment",""
"1925","Arkansas","Arkansas Medal of Honor CommissionCommission",""
"1926","Arkansas","Arkansas Mid-South Community CollegeBoard",""
"1927","Arkansas","Arkansas Minority Teacher Recruitment Advisory Councilcouncil",""
"1928","Arkansas","Arkansas Mississippi County Community CollegeCounty",""
"1929","Arkansas","Arkansas Mississippi River Parkway CommissionCommission",""
"1930","Arkansas","Arkansas Mold Investigation Advisory BoardBoard",""
"1931","Arkansas","Arkansas Mosaic Templars Culture Advisory BoardBoard",""
"1932","Arkansas","Arkansas Multi-State Tax Compact Advisory CommitteeCommittee",""
"1933","Arkansas","Arkansas Museum Services Review Panel",""
"1934","Arkansas","Arkansas National Park Community CollegeBoard",""
"1935","Arkansas","Arkansas Natural and Cultural Heritage Advisory CommitteeCommittee",""
"1936","Arkansas","Arkansas Natural and Cultural Resources Councilcouncil",""
"1937","Arkansas","Arkansas Natural and Scenic Rivers CommissionCommission",""
"1938","Arkansas","Arkansas Natural Heritage CommissionCommission",""
"1939","Arkansas","Arkansas Northeastern CollegeBoard",""
"1940","Arkansas","Arkansas O/S AAS--JacksonvilleAgency",""
"1941","Arkansas","Arkansas O/S AAS--Little Rock MetroAgency",""
"1942","Arkansas","Arkansas Office of Health Information TechnologyBoard",""
"1943","Arkansas","Arkansas Office of Medical Professions Education",""
"1944","Arkansas","Arkansas Office of the Prosecutor CoordinatorAgency",""
"1945","Arkansas","Arkansas Old State House CommissionCommission",""
"1946","Arkansas","Arkansas Ouachita River CommissionCommission",""
"1947","Arkansas","Arkansas Ouachita Technical College Board of DirectorsBoard",""
"1948","Arkansas","Arkansas Ouachita Technical College Ms.Education",""
"1949","Arkansas","Arkansas Outdoor Recreation Grants Advisory CommitteeCommittee",""
"1950","Arkansas","Arkansas Oversight Committee on Breast Cancer ResearchCommittee",""
"1951","Arkansas","Arkansas Oversight Committee on Prostate CancerCommittee",""
"1952","Arkansas","Arkansas Ozarka Technical College Board of DirectorsBoard",""
"1953","Arkansas","Arkansas Palliative Care and Quality of Life Interdisciplinary",""
"1954","Arkansas","Arkansas PANS/PANDAS Advisory Councilcouncil",""
"1955","Arkansas","Arkansas Parks Recreation and Travel CommissionCommission",""
"1956","Arkansas","Arkansas Passport CenterDepartment",""
"1957","Arkansas","Arkansas PBSDepartment",""
"1958","Arkansas","Arkansas Perfusionists Advisory CommitteeCommittee",""
"1959","Arkansas","Arkansas Perinatal Health Services Advisory BoardBoard",""
"1960","Arkansas","Arkansas Petit Jean Technical College Board of DirectorsBoard",""
