"","entity_name","entity_type","num_appearances","org_type","CBO"
"150","aliso_lateral","ORG",4,NA,NA
"151","amazon_web_services","ORG",13,NA,NA
"152","board_of_directors","ORG",1274,NA,NA
"153","cc65","ORG",6,NA,NA
"154","columbia_canal_company","ORG",43,NA,NA
"155","california_aqueduct","ORG",48,NA,NA
"156","department_of_fish_and_wildlife","ORG",679,NA,NA
"157","california_water_code","ORG",343,NA,NA
"158","commonly_associated_with_groundwater","ORG",86,NA,NA
"159","continental","ORG",48,NA,NA
"160","coordinated_data","ORG",7,NA,NA
"161","coordinated_data_management_system","ORG",24,NA,NA
"162","coordinated_plan_expenses","ORG",17,NA,NA
"163","coordinating_body","ORG",26,NA,NA
"164","coordination_agreement","ORG",43,NA,NA
"165","dfw","ORG",10,NA,NA
"166","data_management_systems","ORG",17,NA,NA
"167","decision_making_communications","ORG",24,NA,NA
"168","del_puerto_creek","GPE",16,NA,NA
"169","del_puerto_creeks","GPE",11,NA,NA
"170","delta_mendota_subbasin_projected_water_budget","GPE",10,NA,NA
"171","each_groundwater_sustainability_plan_group","ORG",17,NA,NA
"172","farm_bureau","ORG",94,NA,NA
"173","faunt","ORG",58,NA,NA
"174","firebaugh_irrigation_management_information_system","ORG",2,NA,NA
"175","ford","ORG",43,NA,NA
"176","ford_water_district_groundwater_sustainability_agency","ORG",5,NA,NA
"177","forktail_insects","ORG",10,NA,NA
"178","groundwater_sustainability_agency_boards","ORG",158,NA,NA
"179","groundwater_sustainability_plan_group_alternate_representative","ORG",10,NA,NA
"180","groundwater_sustainability_plan_group_representatives_or_alternate_representatives","ORG",11,NA,NA
"181","groundwater_sustainability_plan_group_s","ORG",14,NA,NA
"182","itrc","ORG",34,NA,NA
"183","imported_supplies","ORG",10,NA,NA
"184","independently","ORG",2,NA,NA
"185","kings","ORG",17,NA,NA
"186","kings_rivers","GPE",62,NA,NA
"187","lifeson_1751","ORG",2,NA,NA
"188","little_panoche_creek","ORG",14,NA,NA
"189","madera_counties","ORG",10,NA,NA
"190","madera_county_environmental_health_division","ORG",9,NA,NA
"191","madera_irrigation_district_groundwater_sustainability_agency","ORG",58,NA,NA
"192","mariposa","ORG",12,NA,NA
"193","mendenhall_et_al","ORG",13,NA,NA
"194","mendota_pool_group","ORG",21,NA,NA
"195","mendota_subbasin_data","ORG",10,NA,NA
"196","mendota_water_authority","ORG",28,NA,NA
"197","merced_rivers","GPE",17,NA,NA
"198","monitoring","ORG",106,NA,NA
"199","motion","ORG",12,NA,NA
"200","natural_communities","ORG",90,NA,NA
"201","national_resource_conservation_service","ORG",24,NA,NA
"202","navigation_satellite_timing_and_ranging_consortium","ORG",16,NA,NA
"203","newman_gustine_crows_landing","ORG",11,NA,NA
"204","notes_numbers","ORG",3,NA,NA
"205","orchards","ORG",16,NA,NA
"206","orestimba","GPE",11,NA,NA
"207","orestimba_creek","GPE",12,NA,NA
"208","ortigalita_creek","GPE",14,NA,NA
"209","portable_document_format","ORG",24,NA,NA
"210","public_land_survey_system_sections","ORG",15,NA,NA
"211","poland","GPE",24,NA,NA
"212","porter_cologne_water_quality_control_act","ORG",37,NA,NA
"213","professional_engineer","ORG",16,NA,NA
"214","riley","ORG",12,NA,NA
"215","soil_agricultural_groundwater_banking_index","ORG",197,NA,NA
"216","safe_drinking_water_act","GPE",29,NA,NA
"217","sustainable_groundwater_management_act_facilitation_support_services_program","ORG",17,NA,NA
"218","san_joaquin_river_seepage","GPE",3,NA,NA
"219","san_benito","GPE",52,NA,NA
"220","san_mateo_road","GPE",2,NA,NA
"221","santa_nella","GPE",16,NA,NA
"222","section","ORG",114,NA,NA
"223","shasta_critical","ORG",66,NA,NA
"224","sierra_nevada","GPE",736,NA,NA
"225","stanislaus_rivers","GPE",22,NA,NA
"226","state_water_resources_control_board","ORG",1292,NA,NA
"227","storage","GPE",40,NA,NA
"228","subarticle_4","ORG",98,NA,NA
"229","sustainability_indicators","ORG",187,NA,NA
"230","delta_mendota_subbasin_newsletter","ORG",12,NA,NA
"231","delta_mendota_subbasin_s","ORG",15,NA,NA
"232","san_luis_delta","ORG",28,NA,NA
"233","wellhead_protection_program","ORG",6,NA,NA
"234","tranquillity","ORG",24,NA,NA
"235","unavco","ORG",270,NA,NA
"236","us","GPE",483,NA,NA
"237","us_census","ORG",79,NA,NA
"238","us_census_bureau","ORG",72,NA,NA
"239","wy2018","ORG",18,NA,NA
"240","well_completion_reports","ORG",71,NA,NA
"241","westside","ORG",24,NA,NA
"242","westside_subbasin","ORG",174,NA,NA
"243","westside_subbasin_groundwater_sustainability_plan","ORG",20,NA,NA
"244","et_al","ORG",28,NA,NA
"245","non_groundwater_sustainability_agency","ORG",32,NA,NA
"246","ad_hoc_committee","ORG",21,NA,NA
"247","background_study","ORG",2,NA,NA
"248","california_department_of_transportation_s_california_department_of_transportation_surveys_manual","ORG",44,NA,NA
"249","california_legislature","ORG",100,NA,NA
"250","california_public_records_act","ORG",25,NA,NA
"251","coastal_range","ORG",7,NA,NA
"252","dmgb_coordination_committee","ORG",2,NA,NA
"253","delta_cross_channel","ORG",14,NA,NA
"254","eastside_chowchilla_bypass","ORG",2,NA,NA
"255","exchange_contract","ORG",22,NA,NA
"256","groundwater_sustainability_plan_regulations","ORG",372,NA,NA
"257","groundwater_sustainability_plan_representatives","ORG",11,NA,NA
"258","international_association_for_public_participation_public_participation_spectrum","ORG",26,NA,NA
"259","interstate_5","ORG",21,NA,NA
"260","mendota_pool","ORG",9,NA,NA
"261","natural_communities_dataset","ORG",102,NA,NA
"262","project_management_institute","ORG",26,NA,NA
"263","raci_chart","ORG",16,NA,NA
"264","restoration_program","ORG",6,NA,NA
"265","seepage_technical_memo","ORG",2,NA,NA
"266","subbasin_coordination_committee","ORG",20,NA,NA
"267","technical_consultants","ORG",24,NA,NA
"268","3548f","ORG",6,NA,NA
"269","4110_topography","GPE",5,NA,NA
"270","613_water_use_management_actions_incentives","ORG",1,NA,NA
"271","63210_management_of_groundwater_extractions_and","ORG",1,NA,NA
"272","6th_st","GPE",3,NA,NA
"273","aecom","ORG",17,NA,NA
"274","af_y_for","ORG",1,NA,NA
"275","af_ac","ORG",24,NA,NA
"276","af_year","ORG",106,NA,NA
"277","aliso_water_district_board","ORG",2,NA,NA
"278","aliso_water_district_groundwater_sustainability_agency_board","ORG",1,NA,NA
"279","acoustic_doppler_current_profilers","ORG",21,NA,NA
"280","agency_website","ORG",16,NA,NA
"281","agricultural_water_management_plans","ORG",55,NA,NA
"282","airborne_uninhabited_aerial_vehicle_synthetic_aperture_radar","ORG",1,NA,NA
"283","aliso_groundwater_management_plan","ORG",1,NA,NA
"284","aliso_lateral_8","ORG",1,NA,NA
"285","aliso_water_district_to","GPE",7,NA,NA
"286","alternate_representatives","ORG",6,NA,NA
"287","anser","ORG",6,NA,NA
"288","appendix_d_data","ORG",5,NA,NA
"289","aqueduct","ORG",26,NA,NA
"290","aquitards","ORG",70,NA,NA
"291","arroyo_snowfly","ORG",5,NA,NA
"292","associates","ORG",70,NA,NA
"293","associates_appendix_a","ORG",1,NA,NA
"294","average_annual_pumping_average_annual_𝛥","ORG",1,NA,NA
"295","bmps","ORG",21,NA,NA
"296","b_state_route_99","ORG",4,NA,NA
"297","banks_pumping_plant","ORG",8,NA,NA
"298","basin","ORG",91,NA,NA
"299","basin_plans","ORG",23,NA,NA
"300","bear_creek","GPE",36,NA,NA
"301","belitz_et_al","ORG",6,NA,NA
"302","bell","ORG",61,NA,NA
"303","beneficial_uses_and_users_regulation_requirements","ORG",1,NA,NA
"304","best_management_practices","ORG",212,NA,NA
"305","boards","ORG",59,NA,NA
"306","boards_of_directors","ORG",34,NA,NA
"307","business_and_industry_interests_business","ORG",13,NA,NA
"308","buttonwillow","GPE",16,NA,NA
"309","bypass_crossing_pipeline","ORG",1,NA,NA
"310","cc21","ORG",5,NA,NA
"311","comprehensive_environmental_response_compensation_and_liability_act","ORG",20,NA,NA
"312","central_valley_flood_protection_board","ORG",31,NA,NA
"313","cw","ORG",17,NA,NA
"314","caltrans","ORG",28,NA,NA
"315","calaveras","ORG",8,NA,NA
"316","california_aqueduct_west","GPE",5,NA,NA
"317","environmental_quality_act","ORG",950,NA,NA
"318","california_foundation","ORG",13,NA,NA
"319","california_state_water_project","ORG",23,NA,NA
"320","california_sycamores","GPE",6,NA,NA
"321","callicorixa","ORG",5,NA,NA
"322","census_designated_places","ORG",14,NA,NA
"323","central","ORG",23,NA,NA
"324","channels_and_recharge_basins","ORG",1,NA,NA
"325","chironomus_spp","ORG",5,NA,NA
"326","chowchilla_bypass_flow_duration_the_bypass","ORG",1,NA,NA
"327","christopher_olvera_department_of_water_resources_christopherolverawatercagov","ORG",6,NA,NA
"328","city_council","ORG",157,NA,NA
"329","cleanup_and_abatement_order","ORG",8,NA,NA
"330","colusa_grass_plants","ORG",5,NA,NA
"331","commerce","ORG",4,NA,NA
"332","committee","ORG",574,NA,NA
"333","common_chapter_and_technical_memoranda","ORG",7,NA,NA
"334","common_technical_memoranda","ORG",10,NA,NA
"335","communication_251_description_of_beneficial_users","ORG",1,NA,NA
"336","communications_goal_development","ORG",12,NA,NA
"337","communications_and_change_management","ORG",12,NA,NA
"338","community_of_santa_nella","ORG",6,NA,NA
"339","community_s_general_plan","ORG",5,NA,NA
"340","completion_reports","ORG",33,NA,NA
"341","concern_special","ORG",5,NA,NA
"342","conservation_agelaius","ORG",5,NA,NA
"343","conservation_cypseloides","ORG",5,NA,NA
"344","consulting_engineers","ORG",11,NA,NA
"345","contact","ORG",7,NA,NA
"346","coordinated","ORG",12,NA,NA
"347","coordinated_public_workshops","ORG",7,NA,NA
"348","coordination","ORG",36,NA,NA
"349","coordination_committee_authorized_actions_and","ORG",5,NA,NA
"350","coordination_committee_meetings","ORG",5,NA,NA
"351","corral_hollow","ORG",7,NA,NA
"352","county_fairs","GPE",12,NA,NA
"353","dm","ORG",3,NA,NA
"354","dmc_check_structures","ORG",4,NA,NA
"355","dmgb","ORG",1,NA,NA
"356","department_of_toxic_substances_control","ORG",231,NA,NA
"357","dtw","ORG",331,NA,NA
"358","department_of_water_resources_agency_s","ORG",12,NA,NA
"359","department_of_water_resources_tool","ORG",5,NA,NA
"360","department_of_water_resources_ur","ORG",1,NA,NA
"361","department_of_water_resources_well_standards","ORG",3,NA,NA
"362","data_management","ORG",31,NA,NA
"363","data_management_system_working_group","ORG",7,NA,NA
"364","data_and_assumptions","ORG",6,NA,NA
"365","decision_making","ORG",7,NA,NA
"366","deep_percolation_of_irrigation_water","ORG",3,NA,NA
"367","del_puerto","GPE",6,NA,NA
"368","delta_mendota_communication_working_group_meetings","ORG",5,NA,NA
"369","delta_mendota_subbasin_intrabasin_coordination_agreement","ORG",7,NA,NA
"370","delta_mendota_subbasin_sustainable_management_criteria","ORG",5,NA,NA
"371","delta_technical_working_group_meetings","ORG",5,NA,NA
"372","department_of_water_resources_bulletin","ORG",277,NA,NA
"373","description_of_criteria_function","ORG",5,NA,NA
"374","description_of_representative_sites_regulation_requirements","ORG",4,NA,NA
"375","dispute_resolution_procedures","ORG",6,NA,NA
"376","dispute_resolution_the_coordination_agreement","ORG",2,NA,NA
"377","district_management_efficiency","ORG",1,NA,NA
"378","division_2","ORG",28,NA,NA
"379","division_6","ORG",33,NA,NA
"380","division_6_of_the_water_code","ORG",24,NA,NA
"381","dos_amigos_pumping_plant","ORG",5,NA,NA
"382","dowitcher_birds_lophodytes","ORG",5,NA,NA
"383","draft_best_management_practices","ORG",9,NA,NA
"384","dry","ORG",2,NA,NA
"385","ducks_unlimited","ORG",14,NA,NA
"386","ducks_unlimited_wetland_inventory","ORG",7,NA,NA
"387","due","ORG",14,NA,NA
"388","dust_control_plan","ORG",11,NA,NA
"389","et_corcoran_clayf","ORG",7,NA,NA
"390","each_agency","ORG",12,NA,NA
"391","eastside_bypass","ORG",43,NA,NA
"392","engagement_group_of_mwh","ORG",3,NA,NA
"393","environmental_conservation_interests","ORG",5,NA,NA
"394","evaporation_of_channels_and_recharge_basins_evaporation","ORG",1,NA,NA
"395","food_and_agriculture_organization_section","ORG",1,NA,NA
"396","full_natural_flow","ORG",10,NA,NA
"397","facilitation_support_services","ORG",18,NA,NA
"398","fallowing","GPE",13,NA,NA
"399","farm","ORG",12,NA,NA
"400","farmers_markets","ORG",12,NA,NA
"401","farmers_water_district_groundwater_sustainability_agency","ORG",379,NA,NA
"402","farmers_water_district_groundwater_sustainability_plan","ORG",9,NA,NA
"403","faunt_et_al","ORG",27,NA,NA
"404","federal_agencies","ORG",27,NA,NA
"405","federal_agencies_aliso_water_district","ORG",1,NA,NA
"406","federal_government_federal","ORG",14,NA,NA
"407","field_collection","ORG",7,NA,NA
"408","fordel","ORG",15,NA,NA
"409","fremont","GPE",93,NA,NA
"410","fresno_management_areas_a_b_groundwater_sustainability_plan","ORG",7,NA,NA
"411","friant","ORG",72,NA,NA
"412","friant_division","ORG",203,NA,NA
"413","friant_kern_canals","ORG",1,NA,NA
"414","friant_water_authority","ORG",122,NA,NA
"415","groundwater_sustainability_agency_estimate","ORG",8,NA,NA
"416","groundwater_sustainability_plan_adoption","ORG",23,NA,NA
"417","groundwater_sustainability_plan_adoption_or_1","ORG",12,NA,NA
"418","groundwater_sustainability_plan_coordinators_planning_forum","ORG",12,NA,NA
"419","groundwater_sustainability_plan_level_water_budgets","ORG",5,NA,NA
"420","groundwater_sustainability_plan_organization_and_preparation_checklist","ORG",8,NA,NA
"421","groundwater_sustainability_plan_plans","ORG",5,NA,NA
"422","groundwater_sustainability_plan_regions","ORG",5,NA,NA
"423","groundwater_sustainability_plan_section_review","ORG",5,NA,NA
"424","groundwater_sustainability_plan_subgroup","ORG",5,NA,NA
"425","gwe","ORG",33,NA,NA
"426","general_plans_andor_community_specific_plans","ORG",5,NA,NA
"427","goldfields","ORG",5,NA,NA
"428","grassland","ORG",7,NA,NA
"429","gravelly_ford_groundwater_sustainability_agency","ORG",1,NA,NA
"430","grebe_birds_porzana","ORG",5,NA,NA
"431","groundwater_levels_groundwater_storage_groundwater","ORG",1,NA,NA
"432","groundwater_levels_storage_historic","ORG",1,NA,NA
"433","groundwater_monitoring_protocols","ORG",18,NA,NA
"434","groundwater_storage","GPE",82,NA,NA
"435","group_contacts","ORG",5,NA,NA
"436","hearing_public_hearing","ORG",12,NA,NA
"437","historic_current","ORG",7,NA,NA
"438","historic_rights_and_arrangements_access","ORG",12,NA,NA
"439","hydrogeologic_conceptual_model_of_the_groundwater_sustainability_plan_emergency_regulations","ORG",5,NA,NA
"440","irlp","ORG",33,NA,NA
"441","integrated_regional_water_management_plan","ORG",326,NA,NA
"442","ibis","ORG",7,NA,NA
"443","idaho","GPE",10,NA,NA
"444","implementation_of_individual","ORG",5,NA,NA
"445","independent_slopes_model","ORG",46,NA,NA
"446","individual","ORG",6,NA,NA
"447","insects","ORG",55,NA,NA
"448","insufficient_quality_of_data","ORG",6,NA,NA
"449","integrated_planning","ORG",12,NA,NA
"450","integrated_regional_water_management_program","ORG",9,NA,NA
"451","integrated_resource_water_management_plan","ORG",12,NA,NA
"452","interferometric_synthetic_aperture_radar","ORG",407,NA,NA
"453","interior","ORG",25,NA,NA
"454","internal_groundwater_water_marketing_program","ORG",1,NA,NA
"455","intra_agency_coordination","ORG",5,NA,NA
"456","ireland","ORG",8,NA,NA
"457","ireland_et_al","ORG",8,NA,NA
"458","irrigated_lands_coalitions","ORG",12,NA,NA
"459","irrigation_training_research_center","ORG",12,NA,NA
"460","jm","ORG",4,NA,NA
"461","jm_lord","ORG",4,NA,NA
"462","jet_propulsion_laboratory","ORG",99,NA,NA
"463","joint_power_authority","ORG",17,NA,NA
"464","juncus","ORG",29,NA,NA
"465","jurassic_to_tertiary_age","ORG",5,NA,NA
"466","land_subsidence_temporal_data_gaps","ORG",1,NA,NA
"467","land_use_plan_assumptions_regulation_requirements","ORG",3,NA,NA
"468","lateral","ORG",5,NA,NA
"469","left_bank_levee","ORG",4,NA,NA
"470","legal_authority_aliso_water_district","ORG",1,NA,NA
"471","legal_authority","ORG",241,NA,NA
"472","legislature","ORG",124,NA,NA
"473","list_of_public_meetings","ORG",11,NA,NA
"474","local_surveys","ORG",1,NA,NA
"475","longbarb_arrowhead","ORG",6,NA,NA
"476","los_banos_creek_reservoir","GPE",5,NA,NA
"477","los_banos_creek_valley","GPE",6,NA,NA
"478","los_banos_creeks","GPE",6,NA,NA
"479","los_baños","GPE",12,NA,NA
"480","lower_aquifer","ORG",22,NA,NA
"481","lower_aquifer_sustainable_yield_estimate","ORG",6,NA,NA
"482","luhdorff_scalmanini","ORG",50,NA,NA
"483","magsa","ORG",12,NA,NA
"484","mt","GPE",1915,NA,NA
"485","madera_basin","GPE",1,NA,NA
"486","madera_county_groundwater_management_plan","ORG",1,NA,NA
"487","madera_county_municipal_code","ORG",1,NA,NA
"488","madera_integrated_regional_water_managementp","ORG",1,NA,NA
"489","madera_integrated_regional_water_management_plans","ORG",2,NA,NA
"490","madera_integrated_regional_water_management_plan","ORG",2,NA,NA
"491","madera_irrigation_district","ORG",102,NA,NA
"492","madera_ranchos","GPE",7,NA,NA
"493","madera_subbasins","ORG",29,NA,NA
"494","madera_title_13","ORG",1,NA,NA
"495","mail_chimp","ORG",12,NA,NA
"496","management","ORG",55,NA,NA
"497","mapping","ORG",7,NA,NA
"498","mariposa_slough_control_structure","ORG",4,NA,NA
"499","measurable_description","ORG",5,NA,NA
"500","measurable_objectives","ORG",86,NA,NA
"501","measurable_objectives_and_minimum_thresholds","ORG",26,NA,NA
"502","mendota_coordination_committee","ORG",1,NA,NA
"503","mendota_dam","ORG",4,NA,NA
"504","mendota_subbasin_coordination_agreement","ORG",8,NA,NA
"505","mendota_subbasin_coordination_committee_and_technical_working_group","ORG",5,NA,NA
"506","merced_counties","GPE",19,NA,NA
"507","mesocapnia_bulbosa","ORG",7,NA,NA
"508","minimum_thresholds_measurable_objectives_minimum_thresholds","ORG",1,NA,NA
"509","mokelumne_rivers","ORG",17,NA,NA
"510","monitoring_networks_and_identification_of_data_gaps","ORG",64,NA,NA
"511","monitoring_protocols","ORG",71,NA,NA
"512","mono_county","GPE",23,NA,NA
"513","monthly","ORG",1,NA,NA
"514","municipal_stakeholders","ORG",12,NA,NA
"515","n_a_n_a_n_a_n_a_n_a_surface_water","ORG",1,NA,NA
"516","national_aeronautics_and_space_administration_s","ORG",8,NA,NA
"517","national_geodetic_survey","ORG",148,NA,NA
"518","national_hydrograph_dataset","ORG",5,NA,NA
"519","natural_resources_conservation","ORG",23,NA,NA
"520","navarretia","ORG",6,NA,NA
"521","nella","GPE",5,NA,NA
"522","networks","ORG",11,NA,NA
"523","new_columbia_ranch","ORG",3,NA,NA
"524","no_management_areas","ORG",1,NA,NA
"525","northern_central_delta_mendota_region_management_committee","ORG",7,NA,NA
"526","oneill_agri_management","ORG",1,NA,NA
"527","oneill_dam","ORG",7,NA,NA
"528","oregon","GPE",92,NA,NA
"529","organizational_internal_conflicts","ORG",12,NA,NA
"530","organizational_internal_executive_sponsorship","ORG",3,NA,NA
"531","overdraft_change_in_groundwater_storage_overdraft","ORG",1,NA,NA
"532","p","ORG",6,NA,NA
"533","party_a_party","ORG",5,NA,NA
"534","pasture_rangeland","ORG",5,NA,NA
"535","paterson","GPE",5,NA,NA
"536","patterson_tranquillity","ORG",5,NA,NA
"537","patterson_and_gustine","ORG",6,NA,NA
"538","periodic_evaluation","ORG",10,NA,NA
"539","phalarope_birds_plegadis","ORG",5,NA,NA
"540","potential_agency_partners","ORG",13,NA,NA
"541","pre_groundwater_sustainability_plan_coordination","ORG",5,NA,NA
"542","precipitation","ORG",92,NA,NA
"543","pressure_transducers_groundwater","ORG",18,NA,NA
"544","privacy_rights","ORG",1,NA,NA
"545","private_agricultural_water_quality_monitoring_agricultural","ORG",1,NA,NA
"546","process_regulation_requirements","ORG",1,NA,NA
"547","procladius_spp","ORG",5,NA,NA
"548","project_benefits_groundwater","ORG",1,NA,NA
"549","project_cost_estimate","ORG",2,NA,NA
"550","project_description","ORG",1,NA,NA
"551","projected_interim","ORG",1,NA,NA
"552","projects_and_management_actions","ORG",565,NA,NA
"553","provost_pritchard","ORG",46,NA,NA
"554","provost_pritchard_consulting_group","ORG",43,NA,NA
"555","public_engagement_and_outreach_regulation_requirements","ORG",1,NA,NA
"556","public_workshops_coordinated","ORG",5,NA,NA
"557","quality_assurance_management_plan","ORG",37,NA,NA
"558","quality_of_data","ORG",3,NA,NA
"559","quinto_creek","GPE",7,NA,NA
"560","raci","ORG",12,NA,NA
"561","reference_point","ORG",52,NA,NA
"562","rpe","ORG",32,NA,NA
