"name","num_appearances_sum","num_appearances_mean","num_types","entity_type","AI_TAGGED"
"california_water_code",207,5,1,"State_Gov",0
"salinas_valley_basin_groundwater_sustainability_agency_east_side_aquifer",207,207,1,"Local_GSA",0
"salinas_valley_basin_groundwater_sustainability_agency_langley_area",206,206,1,"Local_GSA",0
"san_lorenzo_valley_water_district",206,206,1,"District",0
"geotracker",205,6,1,"Data_System",1
"hayward",205,205,1,"City",0
"eel_river_valley_basin",203,203,1,"Basin",0
"grimes_canyon_aquifer",203,68,1,"Natural_Feature",0
"lompico",202,101,1,"City",0
"tehama",202,18,1,"County",0
"city_of_santa_monica",201,201,1,"City",0
"statewide_groundwater_elevation_monitoring",201,5,1,"State_Gov",0
"salinas_valley_basin_groundwater_sustainability_agency_upper_valley_aquifer",199,199,1,"Local_GSA",0
"enterprise",198,99,1,"Nonsense",1
"los_banos",198,28,1,"City",0
"wrmwsd",198,198,1,"District",1
"salt_and_nutrient_management_plan",195,16,1,"Technical",0
"friant_division",194,11,2,"Water_Project",1
"piru_creek",194,32,1,"Natural_Feature",0
"basin_numerical_model",193,193,1,"Technical",0
"monterey_formation",193,15,1,"Natural_Feature",0
"calleguas_creek",192,32,1,"Natural_Feature",0
"technical_peer_review",192,192,1,"Technical",0
"friant_kern_canal",191,13,1,"Infrastructure",1
"mcsim",191,96,1,"Technical",1
"san_benito_county",191,27,1,"County",0
"hydrographs",190,4,1,"Technical",1
"san_jacinto_groundwater_basin",190,190,1,"Basin",0
"santa_ana",190,19,1,"City",0
"water_in_the_yucaipa",190,190,1,"Nonsense",1
"corning",189,24,1,"City",0
"napa_valley",189,189,1,"Geographic_Unit",0
"paso_robles",189,24,2,"Local_Gov",1
"acsd",188,188,1,"District",1
"atascadero",188,94,1,"City",0
"butte_county",188,19,1,"County",0
"solano",188,94,1,"County",0
"geographic_information_system",187,7,1,"Technical",0
"yuba_water_agency",185,62,2,"Local_GSA",0
"irrigation_management_information_system",184,6,1,"State_Gov",0
"kern_delta_water_district",184,37,1,"District",0
"modesto_subbasin",184,92,1,"Basin",0
"scotts_valley_water_district",184,184,1,"District",0
"tracy_subbasin",184,46,1,"Basin",0
"scv_water",183,183,1,"District",1
"tule_river_association",183,30,2,"NGO",1
"dbcp",182,12,3,"District",1
"grassland_water_district",182,91,1,"District",0
"ccbl",181,60,2,"District",1
"davis",181,7,1,"City",0
"glenn_county",181,26,1,"County",0
"gw",181,9,1,"Nonsense",1
"bakersfield",180,12,1,"City",0
"central_coast_regional_water_quality_control_board",180,16,1,"Local_Gov",0
"buena_vista_water_storage_district",179,36,1,"District",0
"las_posas",179,60,1,"Basin",1
"measurable_objectives",178,12,2,"Technical",1
"cgps",177,9,2,"Nonsense",1
"hollister",176,88,1,"City",0
"sonoma_water",176,35,1,"District",1
"stanislaus_county",176,20,1,"County",0
"fish_slough",175,88,1,"Natural_Feature",0
"sustainable_groundwater_management_act_projects",174,35,1,"Water_Project",0
"basemap",173,29,1,"Technical",1
"modeling_team",173,58,1,"Technical",0
"department_of_water_resources_bulletin",172,4,2,"Reference",1
"passive_diffusion_bag",172,172,1,"Infrastructure",1
"visalia",172,22,1,"City",0
"asr",170,14,3,"Technical",1
"barka_slough",170,170,1,"Natural_Feature",0
"bcgsa",170,170,1,"Other_GSA",0
"city_of_modesto",170,34,1,"City",0
"westside_subbasin",170,19,1,"Basin",0
"basin",169,4,1,"Basin",0
"cuyama_basin_groundwater_sustainability_agency",169,169,1,"Local_GSA",0
"east_turlock_subbasin_groundwater_sustainability_agency",169,169,1,"Local_GSA",0
"environmental_protection_agency",169,42,1,"Group",0
"groundwater_sustainability_agency_party",169,24,1,"Group",1
"turlock",169,28,1,"City",0
"arvin_edison_water_storage_district",168,84,1,"District",0
"indian_wells_valley",168,168,1,"Geographic_Unit",0
"kdsa",168,13,1,"Nonsense",1
"kings_county",168,12,1,"County",0
"rmp",168,17,2,"Nonsense",1
"glenn_groundwater_authority",167,84,2,"Local_GSA",0
"kern",167,14,1,"County",0
"yolo_subbasin",167,42,1,"Basin",0
"gis",166,6,2,"Data_System",1
"mendota_subbasin",166,18,1,"Basin",0
"basin_setting",165,6,1,"Geographic_Unit",0
"ec",165,11,1,"Nonsense",1
"fox_canyon_groundwater_management_agency_board",164,55,1,"Group",0
"san_joaquin_river_exchange_contractors",164,41,1,"Group",1
"army",163,54,1,"Federal_Gov",0
"city_of_ventura",163,27,1,"City",0
"groundwater_sustainability_plan_advisory_committee",162,40,1,"Group",0
"inter_agency",162,23,1,"Group",0
"joint_powers_authority",162,5,1,"Group",0
"sierra_valley",162,162,1,"Geographic_Unit",0
"deer_creek_and_tule_river_authority",161,80,1,"Group",0
"mullin_area_groundwater_sustainability_agency",160,80,1,"Other_GSA",0
"north_kings",160,27,2,"District",1
"congress_us_senate",159,3,1,"Federal_Gov",0
"forebay_subbasin",159,26,1,"Basin",0
"jpa",159,8,3,"Nonsense",1
"kings_river_water_association",159,20,2,"Group",1
"yuba_subbasins",159,80,1,"Basin",0
"anderson_subbasins",158,79,1,"Basin",0
"gravelly_ford_water_district",158,53,1,"District",0
"kings",158,12,1,"County",0
"salinas",158,20,1,"City",0
"l",157,39,1,"Nonsense",1
"san_joaquin_river_restoration_settlement",157,52,1,"Legal",1
"santa_monica_basin_groundwater_sustainability_agency",157,157,1,"Local_GSA",0
"technical_memorandum",157,7,1,"Technical",0
"west_san_jacinto_groundwater_sustainability_agency",157,157,1,"Local_GSA",0
"santa_ana_river",156,26,1,"Natural_Feature",0
"ccr",155,12,1,"Nonsense",1
"yuba_groundwater_model",155,155,1,"Technical",0
"santa_barbara_county",154,26,1,"County",0
"west_turlock_subbasin_groundwater_sustainability_agency",154,154,1,"Local_GSA",0
"cottonwood_creek",153,15,1,"Natural_Feature",0
"san_joaquin_county",153,26,1,"County",0
"chowchilla_bypass",152,19,2,"Infrastructure",1
"gravelly_ford_water_district_groundwater_sustainability_agency",152,76,2,"Other_GSA",0
"navy",152,30,1,"Federal_Gov",0
"stanislaus",152,17,1,"County",0
"court",151,50,1,"Nonsense",1
"grassland_groundwater_sustainability_agency",151,151,1,"Other_GSA",0
"westlands_water_district",150,150,1,"District",0
"camrosa",149,25,1,"District",1
"consolidated_irrigation_district",149,37,1,"District",0
"montecito_water_district",149,149,1,"District",0
"sjfm2014",149,149,1,"Reference",1
"inmp",148,21,1,"Nonsense",1
"olcese_water_district_groundwater_sustainability_agency",148,148,1,"Local_GSA",0
"tcwd",148,49,1,"District",0
"county_of_ventura",147,16,1,"County",0
"eastside_subbasin",147,49,1,"Basin",0
"national_marine_fisheries_service",146,6,1,"Federal_Gov",0
"santa_clarita",146,49,1,"City",0
"santa_margarita",146,24,1,"City",0
"swi",146,36,1,"Technical",1
"sonoma_county",145,29,1,"County",0
"bowman_subbasin",144,24,1,"Basin",0
"fox_canyon_groundwater_management_agency_gsa_pleasant_valley",144,144,1,"Local_GSA",0
"national_oceanic_and_atmospheric_administration",144,6,1,"Federal_Gov",0
"consensus_building_institute",143,10,1,"NGO",1
"st_helena",143,143,1,"Geographic_Unit",1
"arroyo_santa_rosa_valley_groundwater_basin",142,142,1,"Basin",0
"big_valley_advisory_committee",142,142,1,"Group",0
"santa_ynez_river_alluvium",142,47,1,"Natural_Feature",0
"butte",141,14,1,"County",0
"management_areas",141,9,1,"Geographic_Unit",0
"spv_groundwater_sustainability_plan_model",141,141,1,"Technical",0
"wyandotte_creek_groundwater_sustainability_agency",141,141,1,"Local_GSA",0
"deer_creek",140,16,1,"Natural_Feature",0
"groundwater_ambient_monitoring_and_assessment",140,3,1,"State_Gov",0
"orland_unit_water_users_association",140,70,2,"Group",1
"paso_robles_formation_aquifer",140,47,1,"Natural_Feature",0
"slough",140,47,1,"Natural_Feature",0
"county_of_humboldt_groundwater_sustainability_agency",139,139,1,"Local_GSA",0
"legal_authority",139,4,1,"Group",0
"santa_rosa",139,17,1,"City",0
"coc",138,11,1,"Nonsense",1
"elsinore_valley_groundwater_sustainability_agency",138,138,1,"Local_GSA",0
"inyo_county",138,34,1,"County",0
"santa_margarita_formation",138,12,1,"Natural_Feature",0
"bmp",137,8,2,"Nonsense",1
"recharge",137,5,3,"Nonsense",1
"solano_irrigation_district",137,137,1,"District",0
"stillwater_sciences",137,20,1,"Company",1
"city_of_vacaville",136,136,1,"City",0
"angiola_water_district",135,135,1,"District",0
"yolo_subbasin_groundwater_sustainability_agency",135,135,1,"Local_GSA",0
"appointing_authority",134,22,1,"Group",0
"electrical_conductivity",134,15,1,"Technical",1
"mann",134,19,2,"Nonsense",1
"monitoring_entity",134,15,1,"Technical",0
"san_leandro",134,134,1,"City",0
"water_budget_zone",134,134,1,"Geographic_Unit",0
"regional_board",133,8,1,"Group",0
"alta_irrigation_district",132,22,1,"District",0
"enterprise_anderson_groundwater_sustainability_agency_enterprise",132,132,1,"Local_GSA",0
"groundwater_sustainability_agency_boards",132,7,1,"Group",0
"measurable_objective",132,16,2,"Technical",1
"p_ma",132,66,1,"Nonsense",1
"sierra_valley_groundwater_management_district",132,132,1,"Local_GSA",0
"action",131,19,1,"Nonsense",1
"tce",131,12,2,"Nonsense",1
"tuscan_formation",131,12,1,"Natural_Feature",0
"pauma_valley_groundwater_sustainability_agency",130,130,1,"Local_GSA",0
"todd_groundwater",130,9,2,"Natural_Feature",1
"arvin_edison_management_area",129,129,1,"Geographic_Unit",0
"chowchilla",129,22,1,"City",0
"city_of_napa",129,129,1,"City",0
"department_of_toxic_substances_control",129,6,1,"State_Gov",0
"dudek",128,14,1,"Company",1
"enterprise_anderson_groundwater_sustainability_agency_anderson",128,128,1,"Local_GSA",0
"stanislaus_and_tuolumne_rivers_groundwater_basin_association_groundwater_sustainability_agency",128,128,1,"Local_GSA",0
"ukiah_valley_integrated_hydrological_model",128,128,1,"Technical",0
"yolo_county",128,32,1,"County",0
"board_of_supervisors",127,4,1,"Group",0
"fillmore_and_piru_basins_groundwater_sustainability_agency_piru",127,127,1,"Local_GSA",0
"henry_miller_water_district_gsa",127,127,1,"Local_GSA",0
"mehrten_formation",127,13,1,"Natural_Feature",0
"scwd",127,127,1,"District",0
"sierra_valley_subbasin",127,127,1,"Basin",0
"ventura_county_watershed_protection_district",127,14,1,"District",0
"fillmore_and_piru_basins_groundwater_sustainability_agency_fillmore",126,126,1,"Local_GSA",0
"fresno_irrigation_district",126,63,1,"District",0
"san_joaquin_river_exchange_contractors_groundwater_sustainability_agency",125,62,2,"Local_GSA",0
"wheeler_ridge_maricopa_water_storage_district",125,125,1,"District",0
"wqo",125,14,1,"Nonsense",1
"butte_basin_groundwater_model",124,41,1,"Technical",0
"fox_canyon_groundwater_management_agency_gsa_oxnard",124,124,1,"Local_GSA",0
"natural_communities_commonly_associated_with_groundwater_dataset",124,5,1,"Technical",0
"san_pedro_formation",124,18,1,"Natural_Feature",0
"best_management_practice",123,6,2,"Legal",1
"city",123,5,1,"Nonsense",1
"continuous_global_positioning_system",123,11,1,"Technical",1
"af_water_year",122,61,2,"Technical",1
"county_of_tulare",122,15,1,"County",0
"east_contra_costa_subbasin",122,61,1,"Basin",0
"sustainability_indicators",122,12,1,"Technical",1
"upper_san_pedro",122,122,1,"Basin",1
"wheeler_ridge_maricopa",122,41,1,"District",0
"yucaipa_basin_groundwater_sustainability_agency",122,122,1,"Local_GSA",0
"central_valley_hydrologic_model",121,13,1,"Technical",0
"corning_subbasin",121,24,1,"Basin",0
"corral_de_tierra_area",121,121,1,"Geographic_Unit",0
"mendota",121,13,1,"City",0
"new_stone_water_district",121,40,1,"District",0
"variable_infiltration_capacity",121,15,1,"Technical",1
"bedford_coldwater_subbasin_groundwater_sustainability_agency",120,120,1,"Local_GSA",0
"merced_irrigation_district",120,30,1,"District",0
"tulare_irrigation_district",120,40,1,"District",0
"porterville_irrigation_district",119,20,1,"District",0
"precipitation",119,4,1,"Natural_Feature",1
"storage",119,20,1,"Nonsense",1
"westlands",119,24,1,"District",1
"cor",118,59,1,"Nonsense",1
"leblanc",118,17,2,"Nonsense",1
"tracy",118,13,1,"City",0
