"name","num_appearances","entity_type","AI_TAGGED","degree","gsp_id"
"national_aeronautics_and_space_administration",7,"Federal_Gov",0,1,"7"
"nature_conservancy",13,"NGO",1,4,"7"
"wells",7,"Infrastructure",1,1,"7"
"district",8,"District",0,3,"7"
"ec",6,"Nonsense",1,4,"7"
"facility",6,"Nonsense",1,1,"7"
"fresno_slough",6,"Natural_Feature",0,2,"7"
"hydrographs",6,"Technical",1,1,"7"
"kdsa",6,"Nonsense",1,5,"7"
"sldmwa",6,"Nonsense",1,2,"7"
"congress_us_senate",6,"Federal_Gov",0,4,"7"
"lower_san_joaquin_levee_district",6,"District",0,1,"7"
"alternate_representative",6,"Nonsense",1,3,"7"
"data_exchange_center",7,"State_Gov",0,4,"7"
"disadvantaged_community",5,"Group",0,4,"7"
"delta_mendota",6,"Basin",1,2,"7"
"delta_mendota_subbasin_coordination_committee",6,"Group",0,2,"7"
"groundwater_sustainability_agencies",8,"Group",0,2,"7"
"hydrogeologic_conceptual_model",7,"Technical",0,2,"7"
"kenneth_d_schmidt_associates",5,"District",0,1,"7"
"spring",5,"Natural_Feature",1,1,"7"
"stanislaus_county",5,"County",0,1,"7"
"andrew_garcia",4,"Person",1,2,"7"
"cgps",4,"Nonsense",1,2,"7"
"california_code_of_regulations",7,"State_Gov",0,1,"7"
"chowchilla",4,"City",0,3,"7"
"communications_working_group",4,"Group",0,2,"7"
"cottonwood_creek_recharge_facility",6,"Infrastructure",1,2,"7"
"farmers_groundwater_sustainability_agency",4,"Other_GSA",0,2,"7"
"groundwater_sustainability_plan_group_representatives",8,"Group",1,4,"7"
"groundwater_sustainability_plan_plan",4,"Technical",0,2,"7"
"group_contact",5,"Legal",0,2,"7"
"integrated_regional_water_management",5,"Local_Gov",0,2,"7"
"merced_county",4,"County",0,1,"7"
"sjrecgsa",4,"Other_GSA",0,4,"7"
"san_benito_county",4,"County",0,2,"7"
"san_luis_delta_mendota_water_authority",8,"Group",0,1,"7"
"corcoran_clay",7,"Natural_Feature",0,3,"7"
"coordination_committee_and_plan_manager",4,"Group",1,2,"7"
"drinking_water_source_assessment_and_protection_program",4,"Legal",1,2,"7"
"delta_mendota_subbasin_technical_working_group",4,"Group",0,3,"7"
"kings_subbasin",4,"Basin",0,4,"7"
"united_states",4,"Federal_Gov",1,1,"7"
"awd1",3,"District",0,1,"7"
"bill",5,"Legal",0,1,"7"
"central_valley",3,"Geographic_Unit",0,1,"7"
"central_valley_regional_water_quality_control_board",4,"State_Gov",0,1,"7"
"cropscape",3,"Data_System",1,1,"7"
"department_of_health_services",5,"State_Gov",1,3,"7"
"delta_mendota_canal",4,"Infrastructure",1,1,"7"
"us_environmental_protection_agency",6,"Federal_Gov",0,2,"7"
"groundwater_conditions",4,"Technical",1,1,"7"
"groundwater_sustainability_plan_submittal",3,"Reference",1,4,"7"
"jerry_brown",3,"Person",1,1,"7"
"lsce",3,"Nonsense",1,2,"7"
"madera_county_general_plan",4,"Technical",0,2,"7"
"madera_subbasin",4,"Basin",0,1,"7"
"wy2012",3,"Nonsense",1,1,"7"
"northern_central_delta_mendota_region",3,"Geographic_Unit",0,1,"7"
"us_environmental_protection_agency_guidance_on_systematic_planning_using_the_data_quality_objectives_process",3,"Technical",0,1,"7"
"united_states_of_america",3,"Federal_Gov",1,2,"7"
"american_community_survey",2,"Data_System",1,1,"7"
"af_y",3,"Nonsense",1,1,"7"
"agricultural_representation",2,"Group",1,1,"7"
"bertoldi",2,"Person",1,1,"7"
"bill_390",2,"Legal",1,1,"7"
"columbia_canal_company",3,"Company",1,1,"7"
"california_aqueduct",4,"State_Gov",0,2,"7"
"department_of_fish_and_wildlife",6,"State_Gov",0,4,"7"
"chowchilla_subbasins",2,"Basin",0,1,"7"
"coordinated_plan_expenses",2,"Technical",1,1,"7"
"coordination_agreement",5,"Group",0,1,"7"
"faunt",2,"Person",1,1,"7"
"firebaugh_irrigation_management_information_system",2,"Technical",0,2,"7"
"groundwater_sustainability_agency_boards",4,"Group",0,3,"7"
"groundwater_sustainability_plan_group_alternate_representative",2,"Group",1,1,"7"
"galloway",2,"Nonsense",1,1,"7"
"garcia",2,"Nonsense",1,1,"7"
"itrc",2,"NGO",1,4,"7"
"kenneth_d_schmidt",2,"District",0,2,"7"
"kings",2,"County",0,1,"7"
"mendenhall_et_al",2,"Reference",1,1,"7"
"mendota_water_authority",2,"Group",0,1,"7"
"notes_numbers",2,"Nonsense",1,1,"7"
"professional_engineer",2,"Nonsense",1,1,"7"
"riley",2,"Nonsense",1,1,"7"
"safe_drinking_water_act",2,"Legal",0,1,"7"
"san_joaquin_river_seepage",3,"Natural_Feature",1,3,"7"
"sierra_nevada",3,"Natural_Feature",1,2,"7"
"state_water_resources_control_board",3,"State_Gov",0,1,"7"
"san_luis_delta",2,"Natural_Feature",1,1,"7"
"wellhead_protection_program",2,"Legal",1,1,"7"
"us_census_bureau",3,"Federal_Gov",1,1,"7"
"westside_subbasin",3,"Basin",0,1,"7"
"et_al",2,"Nonsense",1,1,"7"
"background_study",2,"Reference",1,1,"7"
"california_legislature",2,"State_Gov",0,2,"7"
"california_public_records_act",2,"State_Gov",0,1,"7"
"coastal_range",2,"Geographic_Unit",1,5,"7"
"dmgb_coordination_committee",2,"Group",0,1,"7"
"groundwater_sustainability_plan_regulations",2,"Legal",0,1,"7"
"interstate_5",2,"Infrastructure",1,2,"7"
"af_year",1,"Nonsense",1,1,"7"
"aliso_water_district_to",1,"District",1,1,"7"
"alternate_representatives",1,"Group",1,1,"7"
"appendix_a_water_budgets",1,"Reference",0,3,"7"
"associates",1,"Nonsense",1,2,"7"
"basin_plans",1,"Technical",0,1,"7"
"best_management_practices",1,"Legal",1,1,"7"
"bill_564",1,"Legal",1,1,"7"
"brandt",1,"Person",1,1,"7"
"buttonwillow",1,"City",0,1,"7"
"central_valley_flood_protection_board",2,"State_Gov",0,1,"7"
"cleanup_and_abatement_order",1,"Legal",1,1,"7"
"colusa_grass_plants",1,"Natural_Feature",1,1,"7"
"commerce",1,"City",0,1,"7"
"common_technical_memoranda",2,"Technical",0,1,"7"
"communications_goal_development",1,"Technical",1,1,"7"
"consulting_engineers",1,"Nonsense",1,3,"7"
"contact",1,"Legal",0,1,"7"
"contract",1,"Legal",0,2,"7"
"coordination_committee_meetings",1,"Group",1,1,"7"
"dmgb",1,"District",1,1,"7"
"data_management_system_working_group",1,"Group",0,1,"7"
"delta_mendota_subbasin_intrabasin_coordination_agreement",1,"Group",0,1,"7"
"delta_technical_working_group_meetings",1,"Technical",0,1,"7"
"division_6_of_the_water_code",1,"Legal",0,1,"7"
"draft_best_management_practices",1,"Technical",1,1,"7"
"ducks_unlimited_wetland_inventory",1,"Data_System",1,1,"7"
"environmental_conservation_interests",1,"Group",1,1,"7"
"farm",1,"Nonsense",1,1,"7"
"farmers_water_district_groundwater_sustainability_agency",1,"Other_GSA",0,1,"7"
"farmers_water_district_groundwater_sustainability_plan",1,"Technical",0,1,"7"
"farrar",1,"Nonsense",1,1,"7"
"fordel",1,"Nonsense",1,2,"7"
"fresno_management_areas_a_b_groundwater_sustainability_plan",1,"Technical",0,1,"7"
"friant_water_authority",1,"Group",0,1,"7"
"groundwater_sustainability_plan_level_water_budgets",1,"Technical",1,2,"7"
"groundwater_sustainability_plan_regions",1,"Geographic_Unit",0,1,"7"
"groundwater_sustainability_plan_subgroup",1,"Group",0,1,"7"
"general_plans_andor_community_specific_plans",1,"Technical",0,1,"7"
"historic_current",1,"Nonsense",1,1,"7"
"individual",1,"District",0,1,"7"
"integrated_resource_water_management_plan",1,"Technical",0,1,"7"
"interior",1,"Federal_Gov",1,1,"7"
"internal_groundwater_water_marketing_program",1,"Water_Project",1,1,"7"
"ireland",1,"Geographic_Unit",1,5,"7"
"jet_propulsion_laboratory",2,"Federal_Gov",1,1,"7"
"krug",1,"Nonsense",1,1,"7"
"lower_aquifer",1,"Natural_Feature",0,2,"7"
"luhdorff_scalmanini",1,"Company",1,3,"7"
"magsa",1,"Other_GSA",0,1,"7"
"madera_integrated_regional_water_management_plan",1,"Technical",0,1,"7"
"madera_subbasins",1,"Basin",0,1,"7"
"mark_nordberg",1,"Person",1,1,"7"
"mendota_subbasin_coordination_agreement",1,"Group",0,1,"7"
"mendota_subbasin_coordination_committee_and_technical_working_group",1,"Group",0,1,"7"
"miller",1,"Nonsense",1,1,"7"
"monitoring_networks_and_identification_of_data_gaps",1,"Technical",0,1,"7"
"monitoring_protocols",1,"Technical",0,1,"7"
"monthly",1,"Nonsense",1,2,"7"
"national_geodetic_survey",1,"Federal_Gov",1,1,"7"
"national_hydrograph_dataset",1,"Technical",0,1,"7"
"patterson_and_gustine",1,"Geographic_Unit",1,1,"7"
"periodic_evaluation",1,"Technical",1,1,"7"
"precipitation",1,"Natural_Feature",1,2,"7"
"privacy_rights",1,"Legal",1,1,"7"
"project_benefits_groundwater",1,"Nonsense",1,1,"7"
"provost_pritchard_consulting_group",1,"Group",0,1,"7"
"required",1,"Nonsense",1,1,"7"
"roy_catania",1,"Person",1,2,"7"
"soil_agricultural_groundwater_banking_index_data",1,"Technical",0,1,"7"
"sustainable_groundwater_management_act_portal",1,"Data_System",1,1,"7"
"sldmwa_member_agencies",1,"Group",0,1,"7"
"san_joaquin_formation",1,"Natural_Feature",0,1,"7"
"sneed",1,"Nonsense",1,1,"7"
"sneed_et_al",1,"Reference",1,1,"7"
"southern_california",1,"State_Gov",0,1,"7"
"state_highways_132",1,"Infrastructure",1,1,"7"
"steffens",1,"Person",1,1,"7"
"sullivan_et_al",1,"Reference",1,1,"7"
"surface_water_delivery_projects",1,"Water_Project",0,1,"7"
"total_dissolved_solids",1,"District",0,1,"7"
"table_numbers",1,"Reference",0,1,"7"
"temperance_flat",1,"Water_Project",1,1,"7"
"california_department_of_transportation",1,"State_Gov",0,1,"7"
"central_valley_salt_and_nitrate_management_plan",1,"Technical",0,1,"7"
"delta_mendota_technical_working_group",2,"Group",0,1,"7"
"madera_county_elevation_monitoring_statewide_groundwater_elevation_monitoring",1,"Technical",0,1,"7"
"state_board",2,"Group",0,1,"7"
"this_common_chapter",1,"Nonsense",1,1,"7"
"threatened",1,"Nonsense",1,1,"7"
"trevor_joseph",1,"Person",1,1,"7"
"turlock_subbasins",1,"Basin",0,2,"7"
"army_corps_of_engineers",1,"Federal_Gov",0,1,"7"
"department_of_agriculture",1,"Federal_Gov",0,1,"7"
"us_fish_and_wildlife_service",1,"Federal_Gov",0,1,"7"
"us_geological_survey_professional_paper",1,"Reference",1,1,"7"
"wy2015",1,"Reference",1,1,"7"
"woodard_curran_provost_pritchard",1,"Company",1,1,"7"
"work_of_subcommittees_and",1,"Nonsense",1,1,"7"
"a_aliso_water_district",1,"District",0,1,"7"
"a_national_aeronautics_and_space_administration_jet_propulsion_laboratory",1,"Federal_Gov",1,1,"7"
"andrewgarciasldmwaorg",1,"Nonsense",1,2,"7"
"b_grassland_groundwater_sustainability_plan",1,"Technical",0,1,"7"
"c_northern_central_delta_mendota_regions_groundwater_sustainability_plan",1,"Technical",0,1,"7"
"county_farm",1,"Nonsense",1,1,"7"
"for",1,"Nonsense",1,1,"7"
"most",1,"Nonsense",1,1,"7"
"precipitation_data",1,"Technical",0,2,"7"
"california_health_and_safety_code",1,"State_Gov",0,1,"7"
"california_institute_of_technology",1,"State_Gov",0,1,"7"
"california_statewide_median_household_income",1,"State_Gov",0,1,"7"
"city_of_stockton",1,"City",0,1,"7"
"coordination_committee_of_the_authorization",1,"Group",1,1,"7"
"county_of_madera",1,"County",0,1,"7"
"integrated_water_flow_model",1,"Technical",0,1,"7"
"ralph_m_brown_act_54950",1,"Legal",1,1,"7"
"regional_boards",1,"Group",0,1,"7"
"sldmwa_administration_offices",1,"Group",1,2,"7"
"sustainable_management_of_groundwater_monitoring_protocols",1,"Technical",0,1,"7"
"sustainable_management_of_groundwater_sustainable_management_criteria_best_management_practice",1,"Legal",1,1,"7"
"sustainable_management_of_groundwater_water_budget",1,"Technical",1,1,"7"
"us_departments",1,"Group",0,1,"7"
"upper_and_lower_aquifer",1,"Natural_Feature",0,4,"7"
"westside_san_joaquin",1,"District",0,1,"7"
"this_best_management_practice",1,"Nonsense",1,1,"7"
"groundwater_sustainability_plan",904,"Local_Gov",0,70,"8"
"subbasin",643,"Basin",0,43,"8"
"groundwater_sustainability_agency",580,"Local_GSA",0,51,"8"
"department_of_water_resources",234,"State_Gov",0,34,"8"
"sustainable_groundwater_management_act",189,"State_Gov",0,22,"8"
"westlands_water_district",150,"District",0,28,"8"
"california",101,"State_Gov",0,13,"8"
"asr",98,"Technical",1,11,"8"
"westlands",97,"District",1,21,"8"
"central_valley_project",93,"Water_Project",0,17,"8"
"westside_subbasin",105,"Basin",0,19,"8"
"fresno_county",71,"County",0,16,"8"
"fresno",59,"County",0,17,"8"
"san_luis_canal",63,"Infrastructure",1,5,"8"
"groundwater_dependent_ecosystem",54,"Natural_Feature",0,4,"8"
"draft",50,"Nonsense",1,7,"8"
"board",46,"Group",0,18,"8"
"westside_subbasin_groundwater_model",44,"Technical",0,5,"8"
"campbell",42,"City",0,16,"8"
"district",41,"District",0,4,"8"
"cantua_creek",34,"City",0,4,"8"
"af",33,"Nonsense",1,3,"8"
"united_states_geological_survey",35,"Federal_Gov",0,10,"8"
"kings_county",33,"County",0,6,"8"
"bureau_of_reclamation",38,"Federal_Gov",0,8,"8"
"kings",29,"County",0,7,"8"
"state",29,"State_Gov",1,1,"8"
"gutierrez",27,"Person",1,1,"8"
"huron",27,"City",0,3,"8"
"total_dissolved_solids",29,"District",0,4,"8"
"westlands_groundwater_sustainability_agency",26,"Other_GSA",0,5,"8"
"upper_and_lower_aquifers",27,"Natural_Feature",0,1,"8"
"county",23,"County",0,5,"8"
"westlands_water_district_groundwater_sustainability_agency",60,"Local_GSA",0,19,"8"
"san_joaquin_valley",23,"Geographic_Unit",0,10,"8"
"natural_communities",24,"Group",0,2,"8"
"mou",22,"Group",0,6,"8"
"agency",20,"Group",0,2,"8"
"central_valley_hydrologic_model",20,"Technical",0,4,"8"
"el_porvenir",20,"Geographic_Unit",1,4,"8"
"advisory_committee",22,"Group",0,7,"8"
"electrical_conductivity",20,"Technical",1,3,"8"
"no_climate_change",21,"Nonsense",1,2,"8"
"appendix",17,"Reference",0,4,"8"
"mt",17,"State_Gov",1,1,"8"
"naval_air_station_lemoore",25,"Infrastructure",1,5,"8"
"nature_conservancy",21,"NGO",1,3,"8"
"board_of_directors",18,"Group",0,5,"8"
"kings_counties",16,"Geographic_Unit",1,4,"8"
"mi",16,"Nonsense",1,3,"8"
"san_joaquin_river",21,"Natural_Feature",0,7,"8"
"united_states",19,"Federal_Gov",1,5,"8"
"measurable_objectives",17,"Technical",1,5,"8"
"gps",14,"Technical",1,5,"8"
"north_fork_kings_groundwater_sustainability_agency",15,"Other_GSA",0,1,"8"
"technical_advisory_committee",17,"Group",0,4,"8"
"environmental_quality_act",14,"State_Gov",0,3,"8"
"sfr",13,"Nonsense",1,4,"8"
"wells",13,"Infrastructure",1,1,"8"
"cerini",12,"Person",1,2,"8"
"project_and_management_action",13,"Nonsense",1,1,"8"
"department",13,"Group",0,7,"8"
"groundwater_sustainability_agency_board",18,"Group",0,10,"8"
"sustainable_management_criteria",14,"Legal",1,1,"8"
"state_of_california",13,"State_Gov",0,6,"8"
"appendix_i",10,"Reference",0,1,"8"
"division_of_drinking_water",12,"State_Gov",0,2,"8"
"isw",10,"Nonsense",1,1,"8"
"regional_board",12,"Group",0,2,"8"
"tulare",10,"County",0,4,"8"
"us_environmental_protection_agency",9,"Federal_Gov",0,2,"8"
"los_angeles",9,"County",0,2,"8"
"rmw",9,"Nonsense",1,2,"8"
"sub",9,"Nonsense",1,2,"8"
"san_joaquin",9,"County",0,2,"8"
"tulare_formation",18,"Natural_Feature",0,2,"8"
"hydrogeologic_conceptualization_report",9,"Technical",0,2,"8"
"modflow",8,"Technical",0,2,"8"
"california_water_code",8,"State_Gov",0,1,"8"
"avenal",7,"City",0,1,"8"
"davis",7,"City",0,1,"8"
"lak",7,"Nonsense",1,2,"8"
"luhdorff_and_scalmanini_consulting_engineers",7,"Company",1,2,"8"
"legislature",7,"Nonsense",1,1,"8"
"mendota",7,"City",0,3,"8"
"natural_resources_conservation_service",8,"Federal_Gov",0,1,"8"
"city_of_huron",9,"City",0,1,"8"
"us",7,"Geographic_Unit",1,1,"8"
"department_of_agriculture",7,"Federal_Gov",0,1,"8"
"ciervo",7,"Nonsense",1,1,"8"
"federal_standards",6,"Legal",1,1,"8"
"groundwater_sustainability_plan_regulations",7,"Legal",0,1,"8"
"layer_property_flow",7,"Technical",1,1,"8"
"national_environmental_policy_act",6,"Federal_Gov",0,1,"8"
"projects_and_management_actions",9,"Group",1,3,"8"
"slater",6,"Nonsense",1,2,"8"
"state_water_resources_control_board",8,"State_Gov",0,3,"8"
"boundary_flow_scenario",6,"Technical",1,1,"8"
"natural_communities_commonly_associated_with_groundwater_dataset",6,"Technical",0,1,"8"
"water_well_standards",6,"Legal",1,1,"8"
"charleston",5,"Geographic_Unit",1,2,"8"
"disadvantaged_community",5,"Group",0,2,"8"
"dms",5,"Nonsense",1,1,"8"
"county_of_fresno_groundwater_sustainability_agency",6,"Other_GSA",0,1,"8"
"kettleman_city",5,"City",0,3,"8"
"kettleman_hills",5,"Natural_Feature",1,1,"8"
"lettis",5,"Nonsense",1,6,"8"
"reno",5,"Local_Gov",1,2,"8"
"stakeholder_communication_and_engagement_plan",10,"Technical",0,5,"8"
"sacramento",5,"County",0,1,"8"
"county_of_fresno",8,"County",0,3,"8"
"turk",5,"Nonsense",1,1,"8"
"upper_and_lower_aquifer",6,"Natural_Feature",0,1,"8"
"variable_infiltration_capacity",5,"Technical",1,1,"8"
"agriculture",4,"Nonsense",1,1,"8"
"aquifer_storage_and_recovery",4,"Water_Project",1,1,"8"
"best_management_practices",9,"Legal",1,1,"8"
"coordinated_operation_agreement",5,"Group",0,6,"8"
"fresno_slough",5,"Natural_Feature",0,1,"8"
"groundwater_management_program",5,"Legal",1,1,"8"
"groundwater_model",6,"Technical",0,1,"8"
"natural_communities_commonly_associated_with_groundwater",4,"Natural_Feature",0,2,"8"
"natural_communities_dataset",10,"Technical",0,1,"8"
"navy",4,"Federal_Gov",0,1,"8"
"please",4,"Nonsense",1,1,"8"
"soma",4,"Nonsense",1,4,"8"
"swp",4,"Water_Project",1,2,"8"
"san_luis_unit",5,"District",1,1,"8"
"unavco",4,"NGO",1,3,"8"
"wsj",4,"Nonsense",1,1,"8"
"adaptive",3,"Nonsense",1,1,"8"
"anderson",3,"City",0,2,"8"
"calfax",3,"Company",1,2,"8"
"coalinga",3,"City",0,1,"8"
"dfw",3,"State_Gov",1,1,"8"
"department_of_water_resources_bulletin",3,"Reference",1,1,"8"
"detroit",3,"Local_Gov",1,1,"8"
"faunt",3,"Nonsense",1,1,"8"
"ford",3,"Nonsense",1,1,"8"
"general_head_boundary",3,"Natural_Feature",1,1,"8"
"groundwater_sustainability_plan_public_review_draft",3,"Reference",1,2,"8"
"james_bypass",4,"Water_Project",1,1,"8"
"msa",3,"Nonsense",1,2,"8"
"manning",3,"Nonsense",1,2,"8"
"san_luis_delta_mendota_water_authority",5,"Group",0,2,"8"
"corcoran_clay",6,"Natural_Feature",0,1,"8"
"westlands_water_district_board",6,"Group",0,4,"8"
"water_storage_investment_program",4,"Water_Project",1,1,"8"
"chowchilla_bypass",3,"Infrastructure",1,4,"8"
"general_manager",3,"Nonsense",1,1,"8"
"rules_and_regulations",3,"Legal",0,1,"8"
"adequately_address_groundwater_quality",2,"Nonsense",1,1,"8"
"appendix_l_additionally",2,"Reference",0,2,"8"
"b",2,"Nonsense",1,1,"8"
"bc",2,"Nonsense",1,2,"8"
"bartow",2,"Local_Gov",1,2,"8"
"board_of_supervisors",3,"Group",0,3,"8"
"bulletin_7490",2,"Reference",1,1,"8"
"department_of_fish_and_wildlife",3,"State_Gov",0,1,"8"
"central_valley_project_improvement_act",5,"Legal",0,1,"8"
"california_code_of_regulations_tit",2,"State_Gov",0,1,"8"
"carl",2,"Person",1,1,"8"
"code",2,"Legal",0,3,"8"
"division_7",2,"Local_Gov",1,1,"8"
"federal_reserve_water_rights",3,"Legal",1,1,"8"
"freeport",2,"City",0,2,"8"
"groundwater_sustainability_plan_administration",2,"Group",1,1,"8"
"groundwater_sustainability_plan_development",2,"Technical",1,2,"8"
"groundwater_sustainability_plan_program",2,"Group",1,1,"8"
"groundwater_sustainability_plan_september_2019",2,"Reference",1,2,"8"
"general_information_reporting_period",2,"Technical",0,1,"8"
"hydraulic_conductivity_hydraulic",2,"Technical",1,1,"8"
"israel",2,"Geographic_Unit",1,1,"8"
"kings_river_water_association",3,"Group",1,1,"8"
"katarina_campbell",2,"Person",1,1,"8"
"kings_river_flood_flows",2,"Natural_Feature",1,1,"8"
"lemoore",3,"City",0,1,"8"
"lemoore_naval_air_station",5,"Infrastructure",1,3,"8"
"land_subsidence_sustainable_management_criteria",2,"District",0,2,"8"
"limited_agriculture",2,"Geographic_Unit",1,1,"8"
"long_beach",2,"City",0,1,"8"
"los_banos",2,"City",0,2,"8"
"mae",3,"Nonsense",1,1,"8"
"new_york_times",2,"Company",1,1,"8"
"paleogene",2,"Geographic_Unit",1,1,"8"
"rmse",2,"Technical",1,1,"8"
"sustainability",2,"Nonsense",1,1,"8"
"semitropic_water_storage_district",2,"District",0,1,"8"
"table_35",2,"Reference",0,1,"8"
"lower_aquifer",3,"Natural_Feature",0,1,"8"
"monitoring_well_standards",3,"Technical",0,1,"8"
"westside_subbasin_groundwater_sustainability_plan",4,"Technical",0,2,"8"
"timeline_for_implementation_and_accrual_of_expected_benefits",2,"Reference",1,1,"8"
"timeline_for_implementation_and_accrual_of_expected_benefits_depending",2,"Reference",1,1,"8"
"warren_act",2,"Legal",0,2,"8"
"water_quality",3,"Technical",1,1,"8"
"westland",2,"Local_Gov",1,1,"8"
"an_advisory_committee",2,"Group",0,2,"8"
"california_contractors_license_law",2,"State_Gov",0,1,"8"
"human_right_to_water",2,"Legal",1,2,"8"
"leadership_council",2,"Group",0,1,"8"
"regional_water_quality_control_board_basin_plan_amendment",2,"Legal",1,3,"8"
"water_quality_control_policy_for_maintaining_instream_flows",2,"Legal",1,1,"8"
"77_development",1,"Nonsense",1,1,"8"
"advisory_committee_distribution_system_usage_with_facilities",1,"Group",1,1,"8"
"af_central_valley_project",1,"Water_Project",0,1,"8"
"asr_program",2,"Water_Project",1,1,"8"
"a_detailed_operations_and_water_monitoring_plan",1,"Technical",0,2,"8"
"administrative_personal",1,"Nonsense",1,1,"8"
"aera_energy_llc",1,"Company",1,1,"8"
"amazon",1,"Nonsense",1,1,"8"
"amy_steinfeld",1,"Person",1,2,"8"
"appendix_3a",1,"Reference",0,1,"8"
"bakersfield",1,"City",0,1,"8"
"benicia",1,"City",0,1,"8"
"biovir_labs",1,"Company",1,1,"8"
"brownstein",1,"Nonsense",1,2,"8"
"central_valley_project_allocation",1,"Water_Project",1,2,"8"
"central_valley_project_central_valley_project",1,"Water_Project",0,1,"8"
"capacity",1,"Nonsense",1,1,"8"
"cardno",1,"Company",1,1,"8"
"cenozoic",1,"Natural_Feature",1,1,"8"
"chamber",1,"Group",1,2,"8"
"chow",1,"Nonsense",1,1,"8"
"clean_water_action_and_clean_water_fund",1,"NGO",1,1,"8"
"constructed",1,"Nonsense",1,2,"8"
"conveyance_system_and_distribution_the_district",1,"District",0,3,"8"
"david_bean",1,"District",0,1,"8"
"delta_requirement_improvement_act",1,"Legal",0,1,"8"
"depletion_of_interconnected_surface_water",1,"Natural_Feature",1,2,"8"
"development_of_5year",1,"Nonsense",1,1,"8"
"diane_cardwell",1,"Person",1,1,"8"
"direct_read_manual_turbine",1,"Infrastructure",1,2,"8"
"district_farmers",1,"Group",1,1,"8"
"e",1,"Nonsense",1,1,"8"
"es",1,"Nonsense",1,1,"8"
"es_11_model_discretization",1,"Technical",0,1,"8"
"et",2,"Nonsense",1,1,"8"
"exclusive_agriculture",1,"Nonsense",1,1,"8"
"farber_schreck",1,"Company",1,2,"8"
"fleet_readiness_center_west",1,"Federal_Gov",1,1,"8"
"focus_on_salinity",1,"Nonsense",1,2,"8"
"fresno_bee",1,"Nonsense",1,1,"8"
"fresno_city_council",1,"Group",0,1,"8"
"fresno_county_kings_county",1,"County",0,1,"8"
"fresno_county_land",1,"Geographic_Unit",1,1,"8"
"fresno_state",1,"Local_Gov",1,1,"8"
"gpd",1,"Nonsense",1,1,"8"
"gsa10119",1,"Group",1,2,"8"
"groundwater_sustainability_agency_formation",1,"Natural_Feature",0,1,"8"
"general_agriculture",1,"Nonsense",1,1,"8"
"ground_elevation_benchmark_network",1,"Technical",1,2,"8"
"h7",1,"Nonsense",1,1,"8"
"h_i",1,"Nonsense",1,1,"8"
"h_notices",1,"Nonsense",1,1,"8"
"highland_economics",1,"Company",1,1,"8"
"huron_land",1,"Local_Gov",1,1,"8"
