"GSP","Allocations","Allocation Base","Trading","Taxes/Fees","Tax Base","Rate Structure","Pumping Restrictions","Efficiency Incentives","Status","GSP_ID","Allocation Description","Trading Description","Taxes Description","Restriction Description","Incentive Description"
"Groundwater Sustainability Plan for Cuyama Basin","Y","Multiple","N","N",NA,NA,"N","N","Approved",32,"Allocations to be based on ""estimated historical use, existing land uses, and total irrigated acreage"" with historic meaning 1998-2017, CCSD's allocation would be based only on historical use; Only applicable to the Central Basin Management Area (not whole GSA area), pgs. 432-433",NA,NA,NA,NA
"Groundwater Sustainability Plan for Paso Robles Subbasin","N",NA,"N","Y","Extraction",NA,"Y","N","Approved",35,NA,NA,"p. 344 ""This budget information and management action details would be used to conduct a fee study for purposes of developing a groundwater pumping fee to cover the costs of implementing the regulatory program described in the GSP""",NA,NA
"Groundwater Sustainability Plan for Kern Groundwater Authority","Y","Multiple","Y","Y","Multiple","Tiered","M","Y","Inadequate",36,"KGA contains many districts that do not necessarily propose the same management actions. For NKWSD and SWID only, which would individually be coded ""Maybe,"" baseline groundwater allocations would be ""allocated to each parcel based on its size and the Sustainable Yield for the district."" For SSJMUD, which would individually be coded ""Maybe,"" the GSP does not specify an allocation structure beyond stating that allocations would go to ""landowners."" SWSDhas already implemented an ""individual water budget"" for each landowner by landowner classes.","SSJMUD mentions that any allocation structure they propose ""would allow for the transfer of groundwater pumping credits within each district's jurisdiction, provided that it does not lead to localized impacts at [pre-specified monitoring sites]."" SWSD is expected to initiate in-district water markets and transfers.","EWMA ""not yet initiated"" a fee on groundwater use, no further details. KWTD ""could"" implement an extraction-based charge that would cause groundwater to cost more than surface water. NKWSD and SWID considering extraction fees for extraction beyond allocation. RRBMA implementing an unspecified ""water charge."" SWSD will adopt ""tiered pricing for groundwater.""",NA,"Too many to list, spread across the many districts participating in KGA."
"Groundwater Sustainability Plan for Henry Miller Water District","N",NA,"N","N",NA,NA,"N","N","Inadequate",37,NA,NA,NA,NA,NA
"Groundwater Sustainability Plan for Grassland","N",NA,"N","M","Extraction",NA,"N","N","Inadequate",38,NA,NA,NA,NA,NA
"Groundwater Sustainability Plan for Tulare Lake","M",NA,"M","M",NA,"Uniform","M","Y","Inadequate",42,NA,NA,"p.240 South Fork Kings GSA. Either no fee, a per-well charge, a flat structure on reported pumping, or a tiered structure based on volume and timing of pumping",NA,"p.241 Seasonal cropping and dryland farming program would establish incentives for landowners who have non orchard lands that could be fallowed or planted with less water intensive crops during dry or drought years"
"Groundwater Sustainability Plan for Eastern Tule","Y",NA,"N","M","Extraction",NA,"N","N","Inadequate",43,NA,NA,NA,NA,NA
"Kern County Subbasin Olcese Groundwater Sustainability Plan","N",NA,"N","N",NA,NA,"N","N","Inadequate",44,NA,NA,NA,NA,NA
"Groundwater Sustainability Plan for Madera - Root Creek Water District","N",NA,"N","Y",NA,NA,"N","N","Incomplete",45,NA,NA,NA,NA,NA
"Groundwater Sustainability Plan for Eastern San Joaquin Subbasin","M","Acreage","N","M","Extraction",NA,"M","N","Approved",47,"p. 379 Included in a very vague list of fallback options if all other management actions fail",NA,"p. 378 to be considered only when other management actions have been inadequate",NA,NA
"Groundwater Sustainability Plan for Alpaugh","N",NA,"N","M",NA,NA,"N","M","Inadequate",48,NA,NA,NA,NA,"AID may explore a future incentive program to encourage cropping pattern or irrigation system changes."
"Groundwater Sustainability Plan for Madera - New Stone Water District","M","Acreage","M","M","Extraction","Tiered","N","M","Incomplete",49,"p. 182 Most details remain undetermined, may be exceptions to acreage-based allocations for special users like DACs","Details remain unresolved","Details remain unresolved",NA,"May consider subsidies for surface water conversion, on-farm efficiency improvements, and crop conversion"
"Groundwater Sustainability Plan for Mid-Kaweah","M",NA,"M","M",NA,NA,"N","N","Inadequate",50,NA,NA,NA,NA,NA
"Groundwater Sustainability Plan for Buena Vista Water Storage District","N",NA,"N","Y",NA,"Tiered","M","Y","Inadequate",51,NA,NA,NA,NA,"Provide water users with conveyance and distribution facilities having the responsiveness and flexibility to supply the drip and micro-spray systems now prevalent on farms in the BVGSA, and Separate groundwater recharge from irrigation delivery. p.241

Using pipelines instead of unlined canals extends the area that can be served with surface water and prolongs the season of delivery. In addition, as described under the water measurement project, converting distribution facilities from canals to pipelines enables more accurate measurement of deliveries at turnouts by replacing gates with magnetic flow meters, an improvement which also supports volumetric billingp.242

Reduce agricultural demand by replacing 1,160 acres of irrigated farmland with spreading grounds. p.245

This adaptive management action will fallow land planted in annual crops to reduce demand for irrigation water p.252"
"Groundwater Sustainability Plan for South Yuba and North Yuba","N",NA,"N","N",NA,NA,"M","N","Approved",52,NA,NA,NA,NA,NA
"Groundwater Sustainability Plan for Kern River","Y","Acreage","M","M","Extraction",NA,"M","Y","Inadequate",54,"May include a ramp-down provision reducing allocations over time","Details undetermined",NA,NA,"Subsidies for land conversion"
"Groundwater Sustainability Plan for Lower Tule River Irrigation District","Y","Acreage","Y","Y","Extraction",NA,"Y","Y","Inadequate",56,NA,NA,NA,NA,"p. 254 Existing Water Supply Optimization Projects; p. 268 direct payment for land idling; p. 268 Agricultural Land Retirement Projects"
"Groundwater Sustainability Plan for Tri-County Water Authority","N",NA,"N","Y","Extraction",NA,"N","N","Inadequate",57,NA,NA,NA,NA,NA
"Groundwater Sustainability Plan for East Kaweah","M","Acreage","M","M","Extraction","Tiered","M","M","Inadequate",58,NA,NA,NA,NA,"Long list of potential targets: incentives for canals to transition to surface water, lower water intensity crop choice, temporary fallowing, BMP adoption, soil moisture sensors, permanent fallowing"
"Groundwater Sustainability Plan for Indian Wells Valley Groundwater Authority","Y","Historic Pumping","N","Y","Extraction","Tiered","M","M","Approved",59,"Annual safe yield will be split into ""Annual Pumping Allocations."" Pumping in excess of allocations will pay an ""augmentation fee"" designed to pay for supplemental water. The allocation mechanism is unspecified but will consider ""Historic groundwater production"" and ""municipal requirements."" Current pumpers not receiving normal allocations will be eligible for ""Transient Pool Allocations"" which are single-use, untradeable, and expire in 2040. Total Transient Pool Allocations will not exceed 51,000 af.",NA,"Pumping in excess of allocations will pay an ""augmentation fee"" designed to pay for supplemental water",NA,"p. 268 Pending evaluation of the Rebate Program, the IWVGA may implement a basin-wide rebate program to promote the installation of water-conserving fixtures and appliances."
"Groundwater Sustainability Plan for Madera - Gravelly Ford Water District","N",NA,"N","N",NA,NA,"N","N","Incomplete",61,NA,NA,NA,NA,NA
"Groundwater Sustainability Plan for Delano-Earlimart Irrigation District","Y","Acreage","Y","Y","Extraction",NA,"M","M","Inadequate",63,NA,NA,NA,NA,"p.223. So that full demands for irrigation water may be met with surface water (and therefore limit groundwater pumping), the DEID Management Area may create incentives to encourage irrigation demands be shifted from mid-week to weekends when there is typically unused capacity in the FKC; p.268 has four demand reduction programs: land retirement, crop change, conservation like irrigation efficiency, wildlife habitat conversion."
"Groundwater Sustainability Plan for Pixley Irrigation District","Y",NA,"N","Y","Extraction",NA,"N","M","Inadequate",65,NA,NA,NA,NA,"On-Farm irrigation distribution system upgrades (e.g. drip systems, field leveling; p.221 Land Retirement: taking the form of 1) District purchase of land to permanently retire or set aside into a conservation easement, which would include removal of agriculture farming infrastructure from the land area retired. 2) Individual landowner setting aside a portion of their farm, permanently to reduce crop consumptive demand.3) Individual Landowner setting aside a portion of their farm, on an annual basis, depending on the availability of water each year."
"Groundwater Sustainability Plan for Castac Lake Basin","N",NA,"N","N",NA,NA,"N","N","Review in progress",67,NA,NA,NA,NA,NA
"Eel River Valley Groundwater Sustainability Plan","N",NA,"N","N",NA,NA,"N","N","Approved",70,NA,NA,NA,NA,NA
"San Jacinto Groundwater Basin Groundwater Sustainability Plan","M","Historic Pumping","N","M","Extraction",NA,"N","N","Approved",71,"To be developed when production rates begin to approximately equal sustainable yield; ""Any groundwater allocation would be developed in conjunction with the stakeholders in the Plan Area, and would be anticipated to incorporate historical groundwater production from existing stakeholders and EMWD. After development of the groundwater allocation, the West San Jacinto GSA would work to develop a  fee structure for groundwater production in excess of the allocated amounts."" (426)",NA,"Discusses possibility of implementing a fee to purchase new recharge capacity or water imports; unclear whether this would be a fee on all extraction or only new extraction (423)",NA,NA
"Piru Basin Groundwater Sustainability Plan Final","N",NA,"N","N",NA,NA,"N","N","Review in progress",72,NA,NA,NA,NA,NA
"Fillmore Basin Groundwater Sustainability Plan Final","N",NA,"N","N",NA,NA,"N","N","Review in progress",73,NA,NA,NA,NA,NA
"Santa Margarita Groundwater Agency Groundwater Sustainability Plan","M",NA,"N","N",NA,NA,"M","N","Approved",74,"Not specified (422-423)",NA,NA,NA,NA
"San Pasqual Valley Groundwater Basin Groundwater Sustainability Plan","N",NA,"N","N",NA,NA,"M","Y","Approved",75,NA,NA,NA,NA,"Cost-sharing for irrigation efficiency improvements"
"Upper San Luis Rey Valley Groundwater Sustainability Plan","M",NA,"N","N",NA,NA,"M","M","Review in progress",76,NA,NA,NA,NA,"""Water conservation implements policies and programs promoting and incentivizing conservation and the efficient use of water"" p. 210; ""Rebate programs typically consist of incentives to encourage water user to upgrade to water saving devices such as high-efficiency toilets, washers, and sprinkler systems, replace plants/yards with high water needs to water wise gardens and landscapes, etc"" p. 211"
"Upper Ventura River Valley Basin Groundwater Sustainability Plan","N",NA,"N","N",NA,NA,"N","N","Approved",77,NA,NA,NA,NA,NA
"Groundwater Sustainability Plan for the Santa Ynez River Valley Groundwater Basin Bulletin 118 Basin NO. 3-15 Western Management Area","M","Historic Pumping","N","M","Extraction","Tiered","N","Y","Review in progress",78,"""These Annual Pumping Allocations could be used for the purpose of assigning pumping fees (Augmentation Fees)."" ""Groundwater production in excess of Annual Pumping Allocations would be subject to an Augmentation Fee in an amount that is determined to be sufficient for the acquisition of supplemental water supplies pursuant to this pumping allocation plan"" (646)",NA,"Parcel fee and extraction fee are mentioned as possibilities (625)",NA,"Rebates on water-saving fixtures and sustainable landscape conversion"
"Groundwater Sustainability Plan for the Santa Ynez River Valley Groundwater Basin Bulletin 118 Basin NO. 3-15 Central Management Area","M","Historic Pumping","N","Y","Extraction","Tiered","N","Y","Review in progress",79,"""These Annual Pumping Allocations could be used for the purpose of assigning pumping fees."" ""Groundwater production in excess of Annual Pumping Allocations would be subject to an Augmentation Fee in an amount that is determined to be sufficient for the acquisition of supplemental water supplies pursuant to this pumping allocation plan"" (566)",NA,"Parcel fee and extraction fee are mentioned as possibilities (549)",NA,"Rebates on water-saving fixtures and sustainable landscape conversion"
"Santa Ynez River Valley Groundwater Basin – Eastern Management Area Groundwater Sustainability Plan","M","Multiple","M","M","Multiple","Tiered","N","M","Review in progress",80,"Not specified (428)","Still in conceptual phase (435)","Many fee structures are considered, like per parcel fee, groundwater extraction fee, parcel tax, fee on estimated groundwater extraction. Fees levied will likely be in addition to a tiered base fee structure for all groundwater pumpers. (407)",NA,"Agricultural Water Use Efficiency Programs: Initiatives that promote increasing water use and irrigation efficiency and achieving reductions in the amount of water used for agricultural irrigation. These programs can include financial incentives [...] p. 421"
"Temescal Basin Groundwater Sustainability Plan","N",NA,"N","N",NA,NA,"N","N","Review in progress",81,NA,NA,NA,NA,NA
"Enterprise Subbasin Groundwater Sustainability Plan","N",NA,"N","N",NA,NA,"N","M","Review in progress",82,NA,NA,NA,NA,"Education and outreach, including recommendations regarding replacing inefficient irrigation systems with more efficienct systems and retrofitting existing plumbing fixtures with higher efficiency fixtures. (217) The potential expansion of these efforts would add the offering of financial incentives to incentivize increased water use efficiency. This might include providing rebates to defray the cost of retrofitting plumbing fixtures, replacing low-efficiency irrigation systems or appliances with higher-efficiency technology, or paying customers to remove lawns and other water-intensive landscaping with low-water-use alternatives such as drought-tolerant plants, or by purchasing water-efficient plumbing fixtures in bulk and providing them directly to customers. (223)"
"Anderson Subbasin Groundwater Sustainability Plan","N",NA,"N","N",NA,NA,"N","M","Review in progress",83,NA,NA,NA,NA,"Education and outreach, including recommendations regarding replacing inefficient irrigation systems with more efficienct systems and retrofitting existing plumbing fixtures with higher efficiency fixtures. (227) The potential expansion of these efforts would add the offering of financial incentives to incentivize increased water use efficiency. This might include providing rebates to defray the cost of retrofitting plumbing fixtures, replacing low-efficiency irrigation systems or appliances with higher-efficiency technology, or paying customers to remove lawns and other water-intensive landscaping with low-water-use alternatives such as drought-tolerant plants, or by purchasing water-efficient plumbing fixtures in bulk and providing them directly to customers.(233)"
"Ukiah Valley Groundwater Sustainability Plan","N",NA,"N","M",NA,NA,"M","Y","Approved",84,NA,NA,NA,NA,"Incentives for a broad suite of voluntary actions (some already happening, others under consideration) including irrigation efficiency upgrades, fallowing, crop switching, and municipal efficiency"
"Modesto Subbasin Groundwater Sustainability Plan","M","Other","M","M","Extraction","Tiered","N","M","Review in progress",85,"""Allocate native yield to groundwater right holders based on: a) Priority of right, b) Prescription, c) Other legal principles, such as reasonable use,"" ""only conceptual at this time"" (476, 477)","""This strategy is contingent upon implementation of the groundwater reporting and allocation programs (MAs 1 and 2), so that the credit and trading market can monitor the exchange of groundwater allocations among the landowners and/or the GSAs."" (482)","""This strategy entails setting up a Groundwater Extraction Fee structure for each groundwater user. The fee structure could work in conjunction with the groundwater allocation and reporting programs, such that groundwater use above a certain allocation can be subject to a fee. This strategy could be implemented within the GSAs as needed to achieve the sustainability goals."" (479)",NA,"Incentivizing voluntary conservation/land fallowing"
"Vina Groundwater Subbasin Groundwater Sustainability Plan","M","Not specified","N","N",NA,NA,"M","M","Approved",86,"""As a last resort"", ""could include maximum extraction levels"" (p 251)",NA,NA,NA,"Ongoing process of identifying suitable agricultural efficiency improvements for the GSP area, once identified these improvements will be encouraged (unclear whether financial incentives will be part of this encouragement); considering paying for additional year of fallowing between orchard remove and replanting"
"San Antonio Creek Valley Groundwater Basin Groundwater Sustainability Plan","M","Multiple","M","M","Multiple","Tiered","N","Y","Review in progress",87,"Highly considering making allocations but so far non-specific about setup, see pg. 410 for options under consideration for making allocations","""Non-de minimis groundwater users will be able to trade their groundwater extraction credits"" p. 411; ""Program to provide non-de minimis users with increased flexibility in using their annual allocations. The program will enable voluntary permanent transfer of allocations between parties, through an exchange of GECs. In addition, the program will provide options for potentially long-term or short-term temporary transfer of GECs, including credits derived from voluntary fallowing or conversion to lower water use crops"" (418)","p. 388-390 explain different possibilities, none are decided upon yet",NA,"Incentives for adoption of agricultural best management practices, potentially also incentives for residential efficiency improvements"
"Butte Valley Groundwater Sustainability Plan","N",NA,"N","N",NA,NA,"M","N","Review in progress",88,NA,NA,NA,NA,NA
"Scott Valley Groundwater Sustainability Plan","N",NA,"N","N",NA,NA,"Y","M","Approved",89,NA,NA,NA,NA,"Depending on funding and ongoing assessments, project will likely use incentives to encourage on-farm irrigation efficiency; also vaguer discussion of land repurposing on pg. 278"
"Shasta Valley Groundwater Sustainability Plan","N",NA,"N","N",NA,NA,"M","M","Approved",90,NA,NA,NA,NA,"Highly unspecific plan about irrigation efficiency, says that the project ""is likely to be accomplished through a voluntary, incentive-based program"" and may include incentives for switch to less water-intensive crops"
"East Bay Plain Subbasin Groundwater Sustainability Plan","N",NA,"N","N",NA,NA,"N","N","Approved",91,NA,NA,NA,NA,NA
"Colusa Subbasin Groundwater Sustainability Plan","M",NA,"M","M","Extraction",NA,"N","Y","Incomplete",92,"To be considered only if other management actions fail to achieve expected benefits (386)",NA,"Groundwater extraction fee that would be used to generate well mitigation funds (384). Furthermore, there is a program that will provide subsidies for surface water use, making it cheaper than groundwater (379).",NA,"The Nature Conservancy (TNC) is partnering with private landowners and the Colusa and Glenn Groundwater Authorities for an on-farm, multi-benefit groundwater recharge incentive program. Program objectives are to benefit: Disadvantaged communities and other communities by replenishing critical domestic and agricultural water supplies, Private landowners economically through incentive payments, Migratory shorebirds through the creation of critical winter habitat on farms, and Groundwater conditions (via groundwater recharge) (330); also potential funding for land repurposing if all other management actions fail (387)"
"Bedford-Coldwater Basin Groudwater Sustainability Plan","N",NA,"N","N",NA,NA,"M","N","Review in progress",93,NA,NA,NA,NA,NA
"Corning Subbasin Groundwater Sustainability Plan","N",NA,"N","N",NA,NA,"M","N","Approved",94,NA,NA,NA,NA,NA
"Groundwater Sustainability Plan for Big Valley Basin","N",NA,"N","N",NA,NA,"N","N","Incomplete",95,NA,NA,NA,NA,NA
"Yolo Subbasin Groundwater Sustainability Plan","N",NA,"N","N",NA,NA,"N","M","Approved",96,NA,NA,NA,NA,"Potential future incentives for ""cover crops, compost application, and rangeland management
strategies"" that improve groundwater recharge"
"Tule Lake Subbasin Groundwater Sustainability Plan","N",NA,"N","N",NA,NA,"N","N","Review in progress",97,NA,NA,NA,NA,NA
"Butte Subbasin Groundwater Sustainability Plan","N",NA,"N","N",NA,NA,"N","M","Approved",98,NA,NA,NA,NA,"Incentivize the use of irrigation systems capable of using both surface water and groundwater. These systems will increase use of surface water and on-farm recharge of surface water, and offset groundwater pumping (236 & 262). Facilitate financing of capital improvements for on-farm irrigation systems (237). GSAs may consider offering financial incentives to growers to compensate them for recharging groundwater through field flooding in the course of normal farming operations, with multiple benefits to the underlying aquifer, waterbirds migrating along the Pacific Flyway, and all beneficial users of groundwater in the subbasin (271)"
"Wyandotte Creek Groundwater Subbasin Groundwater Sustainability Plan","N",NA,"N","N",NA,NA,"N","N","Approved",99,NA,NA,NA,NA,"Voluntary irrigation efficiency measures funded by grants"
"North American Subbasin Groundwater Sustainability Plan","N",NA,"N","N",NA,NA,"M","N","Approved",100,NA,NA,NA,NA,NA
"Groundwater Sustainability Plan Sonoma Valley Groundwater Subbasin","N",NA,"N","N",NA,NA,"M","Y","Approved",101,NA,NA,NA,NA,"""The water-use efficiency and alternate include smaller-scale dispersed land-owner projects, such as turf removal, rainwater harvesting, and stormwater capture and reuse. These projects are initially planned as voluntary, incentive-based projects focused on groundwater users, primarily rural, residential, agricultural, and commercial/industrial groundwater users"" (373)"
"Owens Valley Groundwater Basin Groundwater Sustainability Plan","N",NA,"N","N",NA,NA,"N","N","Review in progress",103,NA,NA,NA,NA,NA
"Final Groundwater Sustainability Plan for the Yucaipa Groundwater Subbasin","Y","Historic Pumping","N","Y","Extraction",NA,"N","N","Review in progress",104,NA,NA,NA,NA,NA
"North San Benito Groundwater Sustainability Plan","N",NA,"N","Y","Acreage",NA,"M","N","Approved",105,NA,NA,"""The Groundwater Management Fee will be charged on the basis of land acreage"" (324) There is also mention of a future extraction fee (315)",NA,NA
"Groundwater Sustainability Plan for the Cosumnes Subbasin","N",NA,"M","N",NA,NA,"N","Y","Approved",106,NA,NA,NA,NA,"Incentives for voluntary land fallowing; also may implement incentives for crop switching and efficient technology adoption"
"Turlock Subbasin Groundwater Sustainability Plan","M",NA,"M","M","Extraction","Tiered","M","N","Review in progress",110,"Not specified (590-591)","Carry-over of pumping allocations and maybe a groundwater credit market (598)","Extraction above minimum/sustainable threshold (595)",NA,NA
"South American Subbasin Groundwater Sustainability Plan","N",NA,"N","N",NA,NA,"N","N","Approved",111,NA,NA,NA,NA,NA
